abject	abyecto
mix_mezclarD	mezclar
scramble	mezclar
moderate	moderar
modify	modificar
monitor_controlarD	controlar
monopolise	monopolizar
mortgage	hipotecar
motivate	motivar
motorise	motorizar
mount	montar
ride	montar
move	mover_moverD
move	trasladar
move	trasponer
multiply	multiplicar
murder	asesinar_murderD
mutate	mutar
mutter	murmurar
name	nombrar
nationalise	nacionalizar
need	necesitar
neglect	desatender
negotiate	negociar
neutralise	neutralizar
nominate	nominar
normalise	normalizar
notarise	instrumentar
notch	entallar
note_anotar	anotar_note
notify	notificar
nourish	nutrir
number	numerar
obey	obedecer
object	objetar
obscure	ocultar
observe	observar
obstruct	obstruir
obtain	obtener
occupy	ocupar
occur	ocurrir
offend	ofender
offer	deparar
offer	ofertar
offer	ofrecer
omit	omitir
open	abrir
operate_funcionar	funcionar
operate_manejar	manejar
operate_operarD	operar
opt	optar
optimise	optimizar
orbit	orbitar
originate	originar
outline	perfilar
overcome	vencer_overcome
win	vencer_winD
overwhelm	abrumar
overwhelm	apabullar
owe	adeudar
owe	deber
own	poseer
pack	empaquetar
pack	envasar
paint	pintar
parade	desfilar
paralyse	paralizar
park	aparcar
part	separar
participate	participar
pass	aprobar_pass
pass	pasar
patent	patentar
pause	parar
pay	costear
pay	pagar
peel	pelar
shell	pelar
penetrate	penetrar
perceive	percibir
perfect	perfeccionar
perform	actuar
perfume	perfumar
permit	permitir
persist	persistir_persistD
persuade	persuadir
perturb	perturbar
phone	telefonear
photocopy	fotocopiar
photograph	fotografiar
pick_elegirD	elegir
collect_recogerD	recoger
pick_recoger	recoger
pickup	coger
pilot	pilotar
pin	clavar
pin	hincar
pioneer	iniciar
pipe	canalizar
pipe	encauzar
pirate	piratear_pirate
pity	compadecer
place	colocar
plan	planear_planD
plant	plantar
plaster	escayolar
play_interpretar	interpretar
play_jugarD	jugar
play_reproducir	reproducir
play_tocar	tocar_play
please	complacer
plough	arar
plough	labrar
plumb	aplomar
point_apuntar	apuntar_point
point_señalarD	señalar
poison	envenenar
poll	encuestar
pollute	contaminar
pop	reventar
populate	poblar
pose_plantear	plantear
posit	postular
position	colocar
possess	poseer
postpone	aplazar_postponeD
postpone	postponer
postpone	posponer
pour	escanciar
pour	verter
powder	pulverizar
practice	practicar
practise	practicar
praise	alabar
praise	loar
pray	rogar
preach	predicar
precede	preceder
precipitate	precipitar
preclude	impedir
prevent	impedir
predetermine	predeterminar
predict	pronosticar
predict	pronosticar
predominate	predominar
prefabricate	prefabricar
prefer	preferir
prefix	prefijar
prejudice	perjudicar
prepare	aderezar
prepare_prepararD	preparar
prime	preparar
prescribe	prescribir
present	presentar
preserve	preservar
press	pulsar
presuppose	presuponer
pretend_pretenderD	pretender
prevail	prevalecer
prevail	prevaler
prevail	primar
gothrough	pasarpor
price	tasar
print	imprimir
prioritise	priorizar
proceed	proceder
process	procesar
proclaim	proclamar
produce	producir
progress	progresar
project_proyectarD	proyectar
project_sobresalir	sobresalir
proliferate	proliferar
promise	prometer
pledge	prometer
promote	promover
prompt_apuntar	apuntar
prompt_incitarD	incitar
pronounce	pronunciar
propagate	propagar
propagate	propagar
propose	proponer
prostitute	prostituir
protect	proteger
protect	resguardar
protest	protestar
prove	probar
provide	proporcionar
provoke	provocar
publish	publicar
pull	estirar
pullout	sacar
walloff	amurallar
wallin	amurallar
pump	bombear
puncture	pinchar_punctureD
punish	castigar
purchase	adquirir
pursue	perseguir_pursueD
push_empujarD	empujar
push_pulsar	pulsar
put	poner
put	meter_putD
pose_posarD	posar
quantify	cuantificar
question	cuestionar
quote	citar
race	correr
raise_aumentar	aumentar
raise_criar	criar
raise_levantarD	levantar
oscillate	oscilar
range_variarD	variar
range_alinear	alinear
rate	valorar
reach_lograrD	lograr
reachfor	coger
react	reaccionar
reactivate	reactivar
read	leer
readjust	reajustar
realise	realizar
realise	realizar
reappear	reaparecer
reason	razonar
reassure	tranquilizar
rebound	rebotar
receive	acoger
receive	cobijar
receive	recibir
recess	rebajar
recite	recitar
reckon_calcular	calcular
reckon_considerarD	considerar
recognise	reconocer_recognizeD
recommend	recomendar
reconsider	reconsiderar
reconstruct	reconstruir
rebuild	reconstruir
reconvert	reconvertir
record	grabar
recover	recuperar_recoverD
recuperate	recuperar
recycle	reciclar
redefine	redefinir
redirect	redirigir
reduce	reducir
reelect	reelegir
refer	referir
reflect	reflejar
reform	reformar
refuse	desechar
refuse	rechazar
regenerate	regenerar
register	registrar
regret	lamentar
regulate	regular
reinforce	reforzar
reinstate	restablecer
reiterate	reiterar_reiterateD
reject	rehusar
rejuvenate	rejuvenecer
relate_relacionarD	relacionar
relate_relatar	relatar
relax	relajar
release_soltar	soltar_releaseD
release_liberarD	liberar_release
rely	confiar
remain	permanecer
remain	quedar_remainD
remark	remarcar
remember_acordar	acordar_remember
remember_recordarD	recordar_rememberD
remind_acordar	acordar_remind
remind_recordarD	recordar_remind
remit	remitir
remove	sacar
rename	rebautizar
renew	renovar_renewD
rent	alquilar
reorganise	reorganizar_reorganiseD
repair	reparar_repairD
repeat	repetir
repel	repeler
replace	reemplazar
reply	responder
report	denunciar
report	informar
represent	representar
reproduce	reproducir
repurchase	recomprar
request	pedir
request	solicitar
require	requerir
requisition	requisar
reread	releer
rescue	rescatar
research	investigar_research
reserve	reservar
resign	dimitir_resignD
resist	resistir
resolve	resolver
resolve	zanjar
resort	recurrir
respect	respetar
rest	descansar
restart	reanudar
restart	reemprender
setfire	prenderfuego
setfireto	prenderfuegoa
restart	retomar
restate	reafirmar_restate
restore	restaurar
restrict	restringir
restructure	reestructurar
result	resultar
resurrect	resucitar
retain	retener
retard	atrasar
retort	replicar
retouch	retocar
retrieve	recuperar
return_devolver	devolver
return	retornar
revalidate	revalidar
revalidate	revalidar
reveal	revelar
reverse_invertirD	invertir_reverse
reverse_revocar	revocar
review_reseñar	reseñar
review_revisarD	revisar_reviewD
revive	revivir
revoke	revocar
revolt	repugnar
disgust	repugnar
revolutionise	revolucionar
reward_premiarD	premiar
rhyme	rimar
rid	librar
rip	desgarrar
rise_aumentarD	aumentar_rise
risk	arriesgar
roar	rugir
roll	rodar
root	arraigar
root	enraizar
round	redondear
roundoff	acabar
row	remar
rub	frotar
wash	fregar
brush	rozar
rule	gobernar
run_correrD	correr
run_funcionar	funcionar
rush	apresurarse
sack	despedir_sackD
sacrifice	sacrificar
sadden	entristecer
sail	navegar_sailD
satiate	saciar
satisfy	colmar
satisfy	satisfacer
save_ahorrar	ahorrar
save_guardar	guardar
save_salvarD	salvar
saw	aserrar
saw	serrar
say	decir_sayD
scan	escanear
scare	asustar
scare	espantar
scatter	desperdigar
scatter	escampar
scatter	esparcir
schedule	planificar
score	marcar_score
score	puntuar
scour	registrar
scratch	tachar
scream	chillar
seal	sellar
search	buscar
searchfor	buscar
seat	sentar
second	secundar
secrete	ocultar
secure	asegurar
procure	procurar
seduce	seducir
see	ver
seek	buscar
seem	parecer_seemD
seize_cogerD	coger
seize_confiscar	confiscar
select	seleccionar
sell	vender
send	enviar
sendback	devolver
sendin	enviar
sense	notar
sensitise	sensibilizar
sentence	sentenciar
separate	separar
serve	servir
set	poner
setup_convocar	convocar
setup_instalarD	instalar
setup_montar	montar
setup	ponerenmarcha
settle_resolverD	resolver
sew	coser
shake	sacudir_shakeD
share	compartir
sharpen	agudizar
shatter_destrozarD	destrozar
shave	afeitar
shed	derramar
shift_cambiarD	cambiar
shift_mover	mover
shine	brillar
ship	embarcar
shiver	temblar_shiverD
shoe	calzar
shoot	disparar
shorten	acortar_shortenD
shout	gritar
show	demostrar
show_mostrarD	mostrar
showup	aparecer
shower	llover
rain	llover_rainD
shun	rehuir
shut	encerrar
shut	cerrar
shutdown	cerrar
sigh	suspirar
sign	firmar
signal	señalar
simplify	simplificar
simulate	simular
sin	pecar
sing	cantar
sit	sentar
sitdown	sentar
situate	situar
situate	ubicar
situate	ubicar
skate	patinar
skew	sesgar
skew	soslayar
slacken	aflojar
sleep	dormir
sling	lanzar
slip	resbalar
smash	romper
smell	oler
smile	sonreír
smile	sonreír
smoke	fumar
soften	suavizar
smooth	suavizar
solicit	solicitar
revolve	revolver
scrambleeggs	revolverdehuevo
solve	solucionar
solve	solventar
sort	ordenar
order	ordenar
sound	sonar
space	espaciar
spare	ahorrar
speak	hablar
speak	hablar
specify	especificar
speed	acelerar
accelerate	acelerar
acclimate	aclimatar
adore	adorar
adulate	adular
spell	deletrear
spend_gastarD	gastar
spend_pasar	pasar_spend
spill	derramar
split	partir
sponsor	patrocinar
spread_divulgar	divulgar
spread_extenderD	extender
spread	untar
spring	saltar
spur	espolear
squeeze	exprimir
stage	escenificar
stamp	estampar
stamp	estampar
stand_aguantar	aguantar
stand_estarD	estar
start	empezar
state_declararD	declarar
state_plantear	plantear
stay	quedar_stay
stay	quedarse
steal	robar
stepinto	entrar
step	darunpaso
stick	enganchar
stimulate	estimular
stipulate	estipular
stir	barajar
stirup	remover
stop	detener_stop
stop	parar
store	almacenar
strain	estirar
strengthen	fortalecer
stress	acentuar_stressD
stretch	extender
strike_atacar	atacar
strike_golpearD	golpear_strikeD
strike_hacerhuelga	hacerhuelga
stripe	tachar
strip	desnudar
stroke	acariciar
stroll	deambular
stroll	pasear
structure	estructurar
struggle	luchar
study	estudiar
stuff	embutir
subcontract	subcontratar
subject	someter
submerge	sumergir_submergeD
submit	entregar
deliver	entregar_deliverD
subordinate	subordinar
subsidise	subvencionar
substitute	sustituir
subtract	restar
subtract	restar
suck	chupar
suck	mamar
suckle	amamantar
sue	demandar
suffer	padecer
suffer	sufrir
suffice	bastar
suffocate_asfixiarD	asfixiar_suffocateD
suggest	sugerir
suit_adaptar	adaptar
suit_convenirD	convenir
summon	convocar
modulate	modular
superimpose	superponer
supervise	supervisar
supply	suministrar
support	apoyar_supportD
suppose	suponer
suppress	suprimir
surface	emerger
surpass	superar_surpassD
surprise	asombrar_surprise
astonish	asombrar
surprise	sorprender
surround	rodear
survive	sobrevivir
suspect	sospechar
suspend	suspender_suspendD
sustain	sostener
swear	jurar
vow	jurar
sweat	sudar
sweep	barrer
swim	nadar
swing	balancear
symbolise	simbolizar
synchronise	sincronizar_synchroniseD
tap	tocar
tackle_emprenderD	emprender_tackle
take	asir
take_coger	coger
take_hacer	hacer
take_llevar	llevar_take
take_tomarD	tomar
takeadvantageof	aprovechar
takeaway	sacar
takecare	cuidar
takeoff	sacar
takeout	sacar
takepart	intervenir
takepart	mediar_takepart
takepart	participar
takeplace	tenerlugar
slowdown	irmásdespacio
slow	retrasar
talk_hablarD	hablar
target	apuntar
taste	probar
tax	gravar
teach	enseñar
tear	desgarrar
telephone	telefonear
televise	televisar
tell_decirD	decir_tell
temper	atemperar
temper	templar
tempt	tentar
tend	tender
test_probarD	probar_testD
testify	atestiguar
diversify	diversificar
thaw	derretir
think	opinar
think	pensar
thinkthat	creerque
thinkso	creerquesí
thrill	emocionar
throw	echar_throwD
chuck	echar
thrust	empujar
thunder	tronar
tie	atar_tieD
tie	ligar
tighten	apretar
tighten	estrechar
tighten	tensar_tightenD
tile	embaldosar
tile	enladrillar
time	cronometrar
tip	verter
title	titular
tolerate	tolerar
top	coronar
torture	torturar
trust	confiaren
trust	confiar
touch	tocar_tocarD
tour	visitar
toughen	apelmazar
toughen	encrudecer
toughen	endurecer
tow	remolcar
trace	localizar
trace	trazar
traceback	remontar
trade	comerciar
train	entrenar_trainD
transact	tramitar
transfer	transferir
transform	transformar
translate	traducir
transmit	transmitir
transplant	trasplantar
transport	transportar
trap	atrapar
travel	viajar
treasure	atesorar
treat	tratar
tremble	temblar
trigger	provocar
cause	provocar
truncate	truncar
try	intentar_tryD
try	probar_try
turn	girar_turnD
turnoff	apagar_turnoffD
turnout	resultar
turnup	aparecer
twist	torcer
type	escribir
unblock	desbloquear
unchain	desencadenar
undergo	experimentar
underline	subrayar
undermine	socavar
understand	entender
undertake	emprender_undertakeD
undo	deshacer
undress	desnudar
undress	despojar
unify	unificar
unite	unir
unmask	desenmascarar_unmaskD
unveil	descubrir_unveil
update	actualizar
urge	instar
use	usar
use	utilizar
usurp	usurpar
validate	validar
vary	variar
view	ver
visit	visitar
vote	votar
wait	aguardar_wait
wait	esperar_wait
awaken	despertar
awake	despertar
wake	despertar
wakeup	despertar
walk	andar
walk	caminar
wander	vagar_wanderD
want	querer_wantD
warm_animar	animar
warm_calentarD	calentar
warn	advertir
wash	lavar_washD
waste	desperdiciar
waste	malgastar
watch_mirarD	mirar
watch_vigilar	vigilar_watchD
wave	agitar
wave	ondear
weaken	debilitar
wear	llevar_wear
weep	llorar
weigh	pesar
whisper	susurrar
widen	ensanchar
win	ganar_winD
wish	desear
recall_retirar	retirar
withdraw	retirar_withdrawD
remove	retirar_remove
recall_recordarD	recordar
travelacross	recorrer_travel_across
visit	recorrer_visitD
witness	presenciar
wonder	preguntarse
work_funcionar	funcionar
work_trabajarD	trabajar
workout	salir_workout
worry	preocuparse
worsen	empeorar
worsen	recrudecer
wrap	envolver
wrap	liar
write	escribir
zone	calificar
describe	calificar
describeas	calificarde
qualify	cualificar
apologise	pedirdisculpas
behungry	tenerhambre
annoy	darlalata
behesitant	estarentrePintoyValdemoro
destroy	hacertrizas
drinklikeafish	bebercomouncosaco
goDutch	pagaraescote
shootinthedark	darpalosdeciego
takeforgranted	darporhecho
takeforgranted	darporsentado
paycash	pagarenmetálico
shedlighton	arrojarluzsobre
lighten	aligerar
relieve_relevar	relevar
relieve_aliviarD	aliviar
thereis	hay
anyway	enfin
anyway	entodocaso
inthiscase	enestecaso
Godwilling	siDiosquiere
am	am
abit	unpoco
alittlebit	unpoco
alot	mucho
about	aproximadamente
above	encima
aboveall	sobretodo
abroad	enelextranjero
absolutely	absolutamente
absolutelynot	enabsoluto
notatall	enabsoluto
atall	enabsoluto
atall	nada
abundantly	abundantemente
accidentally	accidentalmente
actively	activamente
actually	dehecho
acutely	intensamente
acutely	profundamente
additionally	además
adequately	adecuadamente_adequately
affectionately	cariñosamente
after	después
shortlyafter	pocodespués
afterall	alfinyalcabo
afterall	despuésdetodo
afterthismanner	deestemodo
afterwards	después
afterwards	luego
again	novedosamente
again	nuevamente
again	otravez
again	denuevo
against	encontra
againstmywill	encontrademivoluntad
ahead	adelante
ahead	defrente
alike	igualmente
allinonebreath	decarrerilla
allover	portodaspartes
allright	bien
allthebetter	muchomejor
alltheless	muchomenos
allthemore	muchomás
alltheway	completamente
allegedly	presuntamente
almost	casi
aloft	arriba
alone	sólo
already	ya
alright	bien
also	también
always	siempre
amidalotofhype	abomboyplatillo
annually	anualmente
anymore	más
anyway	decualquiermanera
anyway	decualquierforma
anyway	detodosmodos
apart	aparte
apparently	aparentemente_apparentlyD
apparently	porlovisto
approximately	aproximadamente
around	alrededor
asamatteroffact	dehecho
aswell	también
aside	aparte
askance	dereojo
askance	desoslayo
askance	porelrabillodelojo
ataguess	aojodebuencubero
atatime	alavez
atfirst	alasprimerasdecambio
atfirst	deprimeras
atfirst	alprincipio
atfullspeed	atodavelocidad
atfullspeed	atodapastilla
atfullspeed	atodogas
athand	amano
athand	alalcancedelamano
atlast	porfin
atleast	almenos
atleast	cuandomenos
atleast	porlomenos
atleast	siquiera
atlonglast	porfin
atonce	inmediatamente
atonestroke	deunplumazo
atpresent	actualmente
atrandom	alazar
atthebeginning	alprincipio
atthedouble	rápidamente
atthedropofahat	demilamores
attheend	alfinal
atthesametime	alavez
attentively	atentamente
automatically	automáticamente
away	fuera
awfully	mucho
back	atrás
backwards	atrás
backwards	atrás
badly	mal
barely	apenas
basedonfacts	conconocimientodecausa
basically	básicamente
becauseyousayso	portucarabonita
before	antes
shortlybefore	pocoantes
behind	detrás
behind	detrás
below	abajo
besides	además
furthermore	además
moreover	además
best	más
beyond	másallá
beyondalldoubt	sindudaalguna
biologically	biológicamente
bitterly	amargamente
blatantly	descaradamente
blindly	aciegas
bombproof	apruebadebombas
breezily	alegremente
briefly	brevemente
broadly	entérminosgenerales
brutally	brutalmente
bychance	porcasualidad
bydegrees	gradualmente
byfairmeansorfoul	porlasbuenasoporlasmalas
byfitsandstarts	atontasyalocas
byforce	alafuerza
byforce	pornarices
byforcedmarches	amarchasforzadas
byhand	amano
byheart	dememoria
bynomeans	deningunamanera
byplane	poravión
bythesametoken	porlamismaregladetres
bytheskinofonesteeth	porlospelos
bytheskinofmyteeth	porlospelos
bytheskinofyourteeth	porlospelos
bytheskinofhisteeth	porlospelos
bytheskinofherteeth	porlospelos
bytheskinofitsteeth	porlospelos
bytheskinofourteeth	porlospelos
bytheskinoftheirteeth	porlospelos
byawhisker	porlospelos
byahairsbreadth	porlospelos
carefully	cuidadosamente
carelessly	asaltodemata
carelessly	despreocupadamente
categorically_rotundamenteD	rotundamente
cautiously	prudentemente
certainly	ciertamente
certainly	ciertamente
cheerfully	alegremente
chiefly	principalmente
chronologically	cronológicamente
clearly	claramente
closeathand	amano
closely	estrechamente_closelyD
comfortably	cómodamente
commercially	comercialmente
commonly	generalmente
commonly	popularmente
completely	completamente
completely	porcompleto
consciously	conscientemente
considerably	considerablemente
consistently	coherentemente
constantly	constantemente
constitutionally	constitucionalmente
continually	continuamente
continuously	continuamente
continuously	decontinuo
correctly	correctamente_correctly
currently	actualmente
daily	adiario
daily	diariamente
dangerously	peligrosamente
dearly	mucho
deeply	hondamente
deeply	profundamente
profoundly	profundamente
ago	hace
definitely	sinduda
definitively	definitivamente
deliberately	intencionadamente
democratically	democráticamente
densely	densamente
desperately	desesperadamente
desperately	aladesesperada
diametrically	diametralmente
digitally	digitalmente
directly	directamente_directlyD
distinctly	claramente
doubly	doblemente
down	abajo
downbelow	abajo
downstairs	abajo
downstream	ríoabajo
downward	abajo
downwards	haciaabajo
dramatically	dramáticamente
drastically	drásticamente
duringthenight	porlanoche
atnight	porlanoche
early	pronto_early
early	temprano
earnestly	sinceramente
easily	fácilmente
economically	económicamente
edgewise	delado
effectively	eficazmente
effortlessly	fácilmente
either	tampoco
eitherway	porpitosoflautas
electronically	electrónicamente
else	más
elsewhere	enotrolugar
emotionally	emocionalmente
endless	sinfin
energetically	energéticamente
enormously	enormemente
enough	bastante_enoughD
enoughandtospare	desobra
entirely	completamente
entirely	enteramente
entirely	porentero
equally_igualmenteD	igualmente
especially	enespecial
especially	especialmente
especially	sobretodo
essentially	esencialmente
essentially	esencialmente
even	aun
even	incluso
eventually	finalmente
ever	nunca
everbefore	nuncaantes
neverbefore	nuncaantes
evermore	eternamente
everynowandagain	continuamente
everywhere	entodaspartes
evidently	evidentemente
evidently	atodasluces
exactly	exactamente
exactly	talmente
exceedingly	extremadamente
excessively	excesivamente
excessively	abasedebien
exclusively	exclusivamente
explicitly	explícitamente
extraordinarily	extraordinariamente
extremely	extremadamente
falsely	falsamente
far	lejos
finally	finalmente
finally	porúltimo
finally	alfin
finally	porúltimo
financially	financieramente
fine	bien
firmly	firmemente
first	primero
first	primero
first	primero
firstandforemost	enprimerlugar
firstcomefirstserved	porordendellegada
firstofall	antetodo
firstly	primeramente
firstly	enprimerlugar
flatly	deplano
flatly	rotundamente
flawlessly	perfectamente
fondly	cariñosamente
foolishly	alotontoalotonto
foolishly	tontamente
forGodssake	porelamordeDios
forGodssake	porDios
fordearlife	desesperadamente
forever	parasiempre
foreverandever	porlossiglosdelossiglos
foreverandever	parasiempre
forexample	porejemplo
forlife	deporvida
fornow	porahora
fornow	porlopronto
foronereasonoranother	porhacheoporbe
foronereasonoranother	porunarazónuotra
forsometimenow	deuntiempoaestaparte
forsure	acienciacierta
forsure	seguro
forthemostpart	mayoritariamente
forthesakeofGod	porelamordeDios
formally	formalmente
formerly	anteriormente
forth	adelante
forthwith	enseguida
fortunately	afortunadamente
fortunately	porfortuna
forward	adelante
frankly	adecirverdad
frankly	francamente
freely	libremente
frequently	frecuentemente
freshly	recientemente
frombadtoworse	demalenpeor
frombeginningtoend	deprincipioafin
frombeginningtoend	decaboarabo
fromeverywhere	detodaspartes
fromthebeginning	desdeelprincipio
fromtimetotime	devezencuando
fullblast	rápidamente
fully	henchidamente
fully	llenamente
fully	plenamente
fundamentally	fundamentalmente
further	másallá
furthermore	además
generally	generalmente
generally	porlogeneral
gently	suavemente
genuinely	sinceramente
givenby	impartidopor
good	bien
gradually	gradualmente
gravely	gravemente
greatly	mucho
gropingly	atientas
half	amedias
half	medio
handoverfist	rápidamente
happily	afortunadamente
hardly	difícilmente
headedby	almandode
heavily	fuertemente
here	acá
here	ahí
here	aquí
overhere	aquí
high	alto
highly	altamente
highly	altamente
historically	históricamente
historically	históricamente
home	encasa
home	acasa_homeD
hopelessly	totalmente
how	cómo
how	cómo
how	cómo
how	quétal
however	sinembargo
however	aunasí
however	aunasí
however	niaunasí
however	sinembargo
hugely	mucho
humbly	humildemente
ifthatwerentenough	paramayorinri
illegally	ilegalmente
immediately	deinmediato
immediately	enseguida
immediately	inmediatamente
inIndianfile	enfilaindia
inabigway	agranescala
inablinkoftheeye	enmenosquecantaungallo
inablinkoftheeye	enunabrirycerrardeojos
inacrazyway	aloloco
inajiffy	enunperiquete
inalittlewhile	enseguida
inalowvoice	amediavoz
inasmallway	apequeñaescala
inasuddenway	repentinamente
inatorrent	aborbotones
inatrice	enunpispas
inatrice	enunabrirycerrardeojos
inatrice	enunsantiamén
inatrice	enunsoplo
inatrice	enuntristras
inaddition	además
inadvance	anticipadamente
inagreement	deacuerdo
inallconscience	sinceramente
inbadfaith	demalafe
inboldstrokes	agrandesrasgos
inbrief	brevemente
inbrief	enresumidascuentas
inbroaddaylight	enplenodía
incommand	alacabeza
inconjunction	conjuntamente
indepth	afondo
inearnest	seriamente
infact	dehecho
infairness	sinceramente
infavour	afavor
inforapenny	deperdidosalrío
infront	delante
infront	enfrente
ingreatdetail	sinfaltarunacoma
ingreatquantity	amanta
ingreatquantity	apuntapala
ingreatquantity	poruntubo
ingreatquantity	engrancantidad
inhand	amano
inkind	amablemente
innouncertainterms	sinrodeos
innouncertainterms	sintapujos
innouncertainterms	sintapujos
inshortorder	enseguida
instyle	portodoloalto
insuchacase	entalcaso
intheafternoon	porlatarde
inthefirstplace	enprimerlugar
intheinterim	mientrastanto
inthelongrun	alalarga
inthemeantime	mientrastanto
inthemeanwhile	mientrastanto
inthemiddleofnowhere	enelquintopino
inthemiddleofnowhere	enmediodelanada
inthemorning	porlamañana
intheprimeoflife	enlaflordelavida
intheshortterm	acortoplazo
inthetwinklingofaneye	enunabrirycerrardeojos
inthetwinklingofaneye	enundosportres
inthisfashion	deestemodo
inthisway	deestemodo
incidentally	adicionalmente
included	inclusivamente
included	inclusive
increasingly	cadavezmás
incredibly	increíblemente
indeed	dehecho
indefinitely	indefinidamente
independently	independientemente
indirectly	indirectamente
indiscriminately	indiscriminadamente
indistinctly	indistintamente
individually	individualmente
inevitably	inevitablemente
inexplicably	inexplicablemente
initially	inicialmente
inside	adentro
inside	dentro
insideandout	pordentroyporfuera
instead	encambio
insufficiently	insuficientemente
internationally	internacionalmente
telephonically	víatelefónica
intentionally	intencionadamente
interestingly	curiosamente
interestinglyenough	curiosamente
internally	internamente
internally	internamente
intothebargain	además
inwardly	interiormente
ironically	irónicamente
itsnousecryingoverspiltmilk	alohechopecho
jealously	celosamente
jointly	conjuntamente
jointly	juntamente
jokingly	humorísticamente
jokingly	debroma
jokingly	enbroma
just_exactamente	exactamente
just_justoD	justo
just_sólo	sólo
justincase	porsiacaso
justincase	porsilasmoscas
justright	correctamente_justrigh
kindly	amablemente_kindlyD
knowingly	asabiendas
largely	engranparte
late	tarde
lately	últimamente
later	posteriormente
later	mástarde
least	menos
left	alaizquierda
legally	legalmente
legitimately	legítimamente
less	menos
lightly_ligeramenteD	ligeramente
likethat	porelestilo
likethis	así
likely	probablemente
likewise	asimismo
likewise	asímismo
literally	literalmente
little	poco
little	poco
little	poco
locally	localmente
logically	lógicamente
long	muchotiempo
longhand	amano
low	abajo
luckily	afortunadamente
luckily	porchiripa
luckily	porsuerte
mainly	principalmente
manifestly	manifiestamente
manually	amano
marginally	marginalmente
massively	masivamente
maybe	quizás
meantime	mientrastanto
meanwhile	entretanto
mentally	mentalmente
merely	meramente
mildly	unpoco
milesbetter	muchomejor
militarily	militarmente
miraculously	milagrosamente
moderately	moderadamente
modestly	modestamente
monumentally	extremadamente
morally	moralmente
more	más
morethanenough	desobra
moreover	además
mortally	mortalmente
most	más
mostly	mayoritariamente
much	mucho
muchbetter	muchomejor
muchbetter	muchomejor
muchless	muchomenos
muchlonger	muchomás
muchmore	muchomás
lastnight	anoche
mysteriously	misteriosamente
nationally	nacionalmente
nationwide	portodoelpaís
naturally	naturalmente
near	cerca
nearhere	cerca
necessarily	necesariamente
negatively	negativamente
neither	tampoco
never	jamás
never	nunca
newly	nuevamente
nicely	amablemente
no	no
nodoubt	sinduda
nomatterwhat	niatiros
nosooner	apenas
non	no
normally	normalmente
north	alnorte
northeast	alnoreste
northwest	alnoroeste
not	no
noteven	nisiquiera
notinyourlife	nialadetres
notably	notablemente
noticeably	sensiblemente
now	ahora
nowadays	hoyendía
objectively	objetivamente
obviously	evidentemente
obviously	obviamente
occasionally	ocasionalmente
ofcourse	naturalmente
ofcourse	desdeluego
ofcourse	porsupuesto
oflikemind	deacuerdo
off	fuera
officially	oficialmente
often	amenudo
on	encima
onadaytodaybasis	diariamente
onalargescale	agranescala
onalargescale	agranescala
onalongtermbasis	alargoplazo
onamassscale	agranescala
onashoestring	concuatroperras
onashoestring	conpoquísimodinero
onashorttermbasis	acortoplazo
onasmallscale	acortoplazo
onanindividualbasis	individualmente
onfoot	apie
onhand	amano
onmyown	pormicuenta
onnoaccount	bajoningúnconcepto
onpurpose	expresamente
onrecord	oficialmente
onthecontrary	alcontrario
onthedefensive	aladefensiva
onthedouble	rápidamente
atthedouble	rápidamente
overtime	coneltiempo
onthehouse	porcuentadelacasa
ontheonehand	porunlado
ontheonehand	porunlado
ontheotherhand	porotrolado
ontheotherhand	porotraparte
ontheotherside	porotrolado
onthequiet	alachitacallando
onthesly	ahurtadillas
onthesurface	aflordepiel
ontime	puntualmente_ontimeD
ontiptoe	depuntillas
ontop	arriba
onyourown	portucuenta
once	unavez
onceandforall	deunavezportodas
onceinabluemoon	dehigosabrevas
onceinabluemoon	dePascuasaRamos
fromtimetotime	detardeentarde
onceinabluemoon	deuvasaperas
onceinawhile	devezencuando
only	solamente
only	solo
only	sólo
only	únicamente
openly	abiertamente
ordinarily	normalmente
originally	originalmente
out	fuera
outofplace	fueradelugar
outofposition	fueradelugar
outofsorts	decapacaída
outofturn	fueradelugar
outthere	allí
outright	francamente
outside	afuera
outside	fuera
over	encima
overmydeadbody	porencimademicadáver
overthere	allí
overnight	porlanoche
overnight	delanochealamañana
overseas	enelextranjero
pm	pm
painstakingly	minuciosamente
painstakingly	laboriosamente
paradoxically	paradójicamente
partially	parcialmente
particularly	particularmente
partly	enparte
patiently	pacientemente
peacefully	pacíficamente
perperson	porpersona
perperson	porcabeza
perperson	porbarba
percent	porciento
perfectly	perfectamente
perhaps	quizá
perhaps	quizás
perhaps	quizás
permanently	permanentemente
perpetually	perpetuamente
personally	personalmente
physically	físicamente
please	porfavor
pointblank	aquemarropa
pointblank	abocajarro
pointlessly	inútilmente
pointlessly	inútilmente
politically	políticamente
positively	positivamente
possibly	deserposible
possibly	posiblemente
possibly	posiblemente
potentially	potencialmente
powerfully	poderosamente
practically	prácticamente
precisely	certeramente
precisely	justamente
precisely	precisamente
predictably	previsiblemente
predominantly	predominantemente
preferably	preferiblemente
preferably	preferentemente
presumably	presumiblemente
previously	anteriormente
previously	previamente
primarily	principalmente
principally	principalmente
privately	enprivado
probably	probablemente
probably	alomejor
professionally	profesionalmente
progressively	progresivamente
properly_adecuadamente	adecuadamente_properlyD
properly_correctamenteD	correctamente_properlyD
