manipulation	manipulació
laughingstock	riureda
uncivil	incivil
insufficiently	insuficient
spoilages	escomeses
perturbed	perturbat
marvels	meravelles
pathetically	patèticament
squabble	lluita
catchy	enganxós
traction	tracció
scandalized	escandalitzat
subsidizing	subvencionant
quaint	pintoresc
famished	fam
clear-cut	clar
lover	amant
damaging	danyant
cheerful	alegre
magnificent	magnífic
flatter	afalagar
solid	sòlid
valuable	valuós
tiringly	cansadament
hatefully	odiosament
haunt	perseguir
objection	objecció
servitude	servitud
hopeful	esperançador
unselfish	desinteressat
hostility	hostilitat
failed	fracassat
mercifully	mercè
rigidness	rigidesa
tenaciously	tenazmente
contrariness	contrarietat
silent	silenciós
exasperating	exasperant
pillory	picota
detract	detriment
excellency	excel·lència
harmful	perjudicial
goad	goig
fever	febre
nervousness	nerviosisme
erratic	erràtic
openness	obertura
fallen	caigut
calm	calma
prejudices	prejudicis
crushed	aixafat
twinkly	centellejant
satisfies	satisfà
plush	felpa
durable	durador
virtuously	pràcticament
sidetrack	desviament
fast	ràpid
desititute	desitjable
detestably	detestablement
tedious	tediós
distrusting	desconfiança
dumping	abocament
wonderously	meravellosament
erodes	erosiona
heartbreaker	trencaclosques
rigid	rígid
aggravate	agreujar
bereft	abandonat
staunch	ferm
obscenely	obscenament
miser	avaro
humorous	humorístic
frustrations	frustracions
fictitious	fictici
clique	cliqueu
timely	puntual
rough	rugós
ranting	desviació
luxury	luxe
uphold	defensar
disappoints	decepcions
generosity	generositat
flirt	coquetejar
undisputed	indiscutit
dejectedly	desagradable
peril	perill
fabricate	fabricar
ineloquently	inelucent
grumble	callar
refreshed	actualitzat
oppressive	opressiu
tyrannically	tirànnicament
monotony	monotonia
diabolic	diabòlic
strife	lluita
undercutting	baixada
swollen	inflat
balanced	equilibrat
chilly	fred
wicked	malvat
trick	truc
stampede	allau
dusty	polsós
wasting	perdent
irony	ironia
torturing	torturar
leery	alegre
oppress	opressió
flaunt	ostentar
undermine	minar
mess	desordre
smother	sofriment
racy	cruixent
superbly	excel·lentment
lamentably	lamentablement
cost-effective	rendible
misfit	incomplir
forsake	abandonar
easy	fàcil
felonious	feloniós
won	guanyat
distraughtness	distracció
gloomy	sombrío
irretating	irreting
tender	tendre
skimpy	escàs
disadvantage	desavantatge
vibrate	vibrar
stressful	estressant
aspire	aspirar
spoilage	malmetre
shame	vergonya
contentment	alegria
corrupting	corrompido
frolic	esgarrifós
faithfully	fidelment
progress	progrés
demoralizingly	desmoralitzant
amicability	amistat
jealousy	gelosia
anti-white	anti-blanc
unworkable	inabastable
violate	viola
dubitable	dubitativa
object	objecte
misunderstandings	malentesos
dissenter	dissensió
charm	encant
controversy	controvèrsia
insincere	insincera
underestimate	subestimar
tauntingly	inquietant
relief	alleujament
abolish	abolir
boring	avorrit
renown	fama
astound	sorprenent
cataclysmic	cataclísmic
sneeringly	descaradament
perplexed	perplex
surrender	rendició
reform	reforma
exorbitantly	exorbitant
aggravation	agreujament
unfortunate	desafortunat
anarchist	anarquista
appalling	horrorós
debase	refús
elated	ansiós
uneasy	incòmode
supporter	partidari
taut	tens
cramp	rampa
perilously	perillosament
fine	bé
remunerate	remunerar
empathize	empatia
spitefully	pertortadament
hassled	molestat
unequivocal	inequívoc
deprecate	obsolet
sues	demanda
rapture	rapto
fundamentalism	fonamentalisme
misaligned	desalineado
bristle	truges
extremists	extremistes
precisely	precisament
bully	intimidació
one-sided	unilateral
dirty	brut
spirited	esperit
praise	lloança
intolerablely	intolerable
spiteful	lamentable
smell	olor
feasible	factible
chore	feina
sustainability	sostenibilitat
uncomfy	incompatible
warning	advertència
curse	maledicció
lean	inclinació
enrich	enriquir
simplifying	simplificant
imperialist	imperialista
threesome	trío
malevolently	malévolamente
repugnance	repugnància
mortification	mortificació
layoff	despatx
agony	agonia
impedance	impedància
exalting	exaltació
conciliate	conciliar
unquestionable	indiscutible
beset	assetjat
feint	pretensió
lifesaver	salvavides
fervid	fervent
unconstitutional	inconstitucional
dismaying	disgustant
tentatively	provisionalment
instantly	instantàniament
togetherness	unió
regrettably	lamentablement
addicts	addictes
anxious	ansiós
inaccuracies	inexactituds
achievement	assoliment
resourceful	enginyós
refresh	actualització
devastate	devastar
dissatisfying	descontent
stupid	estúpid
unrivaled	inigualable
tricked	enganyat
strict	estricta
restless	inquiet
anti-proliferation	antiproliferació
bashed	banyat
perversity	perversitat
intoxicate	intoxicar
personalized	personalitzat
betrays	traeix
rumours	rumors
misrepresentation	tergiversació
fascinatingly	fascinant
maneuverable	maniobrable
freed	alliberat
brutalize	brutalitzar
crook	lladre
filthy	brut
heartbreaking	desgarrador
pickets	piquets
invalid	invàlid
knotted	nusos
awesomeness	increïble
disadvantages	desavantatges
flattering	halagador
hedonistic	hedonista
decisive	decisiu
irretrievable	irrecuperable
defeat	derrota
foresight	previsió
inundated	inundat
solicitous	sol.licit
splendor	esplendor
die-hard	morir-dur
enjoyment	gaudi
exuberance	exuberància
panick	pànic
sinfully	pecaminosament
wrip	empenta
imaginative	imaginatiu
debts	deutes
hated	odiat
paupers	pobres
embarrassing	embarazoso
commotions	commocio
wreck	naufragi
secure	segur
sin	pecat
ignorance	ignorància
buckle	sivella
fond	aficionat
critical	crític
indignation	indignació
spellbinding	fascinant
mundane	mundà
alienate	alienar
confront	confrontar
constructive	constructiu
fervidly	ferventament
pinnacle	pinacle
galling	enganyant
humiliate	humiliar
tragically	tràgicament
hot	calenta
gaiety	alegria
visionary	visionari
readable	llegible
intrusion	intrusió
carp	carpa
upgradeable	actualitzable
irregularity	irregularitat
pepping	picar
liars	mentiders
risks	riscos
culprit	culpable
crisis	crisi
liable	responsable
excelent	excel·lent
revolutionary	revolucionari
casualty	víctima
pugnacity	pugnacitat
plotters	traçadors
preferes	prefereix
pleasantly	agradablement
burns	cremades
tough	dur
skittishly	descoratjadorament
gleeful	alegre
presumptuously	presumptament
clueless	despistada
discouraging	descoratjant
optimistic	optimista
domineer	domini
dreadfulness	terrible
skeptical	escèptic
bumpping	picar
harmonious	harmoniós
calamity	calamitat
obstruct	obstruir
midget	Àvia
untrue	fals
indulgence	indulgència
volatility	volatilitat
miraculously	miraculosament
affront	afrontament
reassurance	tranquil·litat
disturbing	inquietant
lure	atraure
scum	escòria
spotty	irregular
forgetfully	oblidat
fascinate	fascina
aground	encallat
pernicious	perniciosa
downheartedly	descoratjador
uncomfortably	incòmodament
breaking	trencament
neat	net
bogus	fals
lost	perdut
ignominious	ignominiosa
uneasiness	inquietud
improved	millorat
unwise	imprudent
lumpy	boig
coherence	coherència
severity	gravetat
disgruntle	descontent
disruption	interrupció
gallingly	cruelment
abundance	abundància
rich	ric
complementary	complementari
exaggeration	exageració
turmoil	confusió
untruthful	fals
endorsement	aval
decay	decaïment
alienated	alienat
paranoid	paranoico
joyously	alegrement
fetid	fètida
trophy	trofeu
rut	rutina
conflicts	conflictes
defensive	defensiu
suspicions	sospites
dizzingly	enutjós
pamper	mimar
wrong	mal
enthusiastic	entusiasta
coldly	fredament
fictional	ficció
vanity	vanitat
decisiveness	decisivitat
noxious	nocius
beastly	bestial
shadowy	ombrívol
imminently	inminente
shiver	estremiment
obtainable	obtinguda
neglected	descuidat
iniquity	iniquitat
adulation	adulació
capitulate	capitular
anxiousness	ansietat
incense	encens
pitilessly	despiadadamente
fatal	mortal
maddeningly	enutjat
entertains	entreté
heartening	coratge
appalled	horroritzat
catastrophe	catàstrofe
subdued	submergit
despised	menyspreat
compassionate	compassiu
cruelly	cruelmente
suffered	patit
deadbeat	mortalitat
freedoms	llibertats
wrongful	injust
resent	ressentir
straining	esforçant-se
overzealous	excessiu
desultory	desolat
selfishly	egoista
immovable	immòbil
exceeding	superant
coupists	copistes
propitious	propici
cowardly	covard
crippled	paralitzat
lead	dirigir
wobble	bessona
toughness	duresa
congratulation	felicitació
excuse	excusa
grievance	queixa
sparkling	escumós
dread	temor
stress	estrès
downbeat	pitjor
tantalizing	tastant
jealously	gelosament
cloudy	ennuvolat
bulkiness	massatge
presumptuous	presumptuós
snarl	ronca
mature	madur
amicably	amigablement
wonderfully	meravellosament
eyesore	ulleres
non-violence	no-violència
needy	necessitats
bleeds	sagnen
rift	escletxa
dissuade	dissuadir
restructuring	reestructuració
malodorous	malolor
shrilly	esgarrifós
gimmicking	immersió
insightfully	intuïtivament
stumbles	ensopega
warlike	guerrer
impunity	impunitat
joke	broma
triumph	triomf
degeneration	degeneració
overtaxed	sobretaxat
outstrip	superar
atrocity	atrocitat
wilt	gemec
instigator	instigador
mock	burla
great	genial
astonish	sorprendre
riled	clavat
squeak	esclava
overwhelmingly	abrumadorament
showdown	enfrontament
provocation	provocació
farce	farsa
inconsequent	inconsecuentes
fallaciously	fallat
cleared	aclarit
outcast	marginat
hardheaded	capçal
defender	defensor
antagonism	antagonisme
donside	abandonat
failing	fallant
thankless	agraït
unaccustomed	desacostumat
exceptionally	excepcionalment
futile	fútil
downfallen	baixada
uneasily	inquietant
cheapen	barat
impractical	impracticable
poison	verí
gladness	alegria
pleasant	agradable
manipulators	manipuladors
shemale	transsexual
disrespectable	indescriptible
mashed	puré
deginified	deginificat
imminence	imminència
disillusionment	desil·lusió
helplessly	impotent
improvements	millores
sleazy	dolça
fracture	fractura
restructure	reestructurar
grateful	agraït
swelling	inflor
baffled	desconcertat
strident	estrident
wrest	arrencar
promise	promesa
fragile	fràgil
picketing	piquet
penalty	penalització
forsaken	abandonat
unwavering	incondicional
scratches	ratllades
disadvantageous	desavantatges
delicacy	delicadesa
tepid	tebi
pales	pal·les
vibration	vibració
self-destructive	autodestructiu
stupidly	estupidament
delaying	retard
lush	exuberant
carnage	carnisseria
preferring	preferint
outperforming	superant
raving	fastigós
sharply	bruscament
treasure	tresor
glisten	brillar
disrespectful	irrespetuós
tank	tanc
effusively	efectivament
nauseatingly	nàusees
dishonest	deshonest
hapless	infeliç
enviousness	enveja
dud	dub
precious	preciós
grieve	dolent
abounds	abundant
needless	innecessari
critic	crític
splitting	dividint
righteousness	justícia
unthinkable	impensable
restlessness	inquietud
raging	furiós
slumpping	baixant
killer	assassí
temerity	temeritat
repressive	repressiu
ordeal	calvície
deceitful	enganyós
perfidious	perfidioso
wretchedness	miserable
harmonize	harmonitzar
smoulder	smolder
daunt	dimonis
fecilitous	fecilit
witty	enginyós
comely	còmodament
foremost	sobretot
rhetorical	retòrica
excessively	excessivament
self-sufficiency	autosuficiència
indiscriminating	indiscriminada
disbeliever	incrèduls
stutter	tartamudeja
starvation	fam
exhausted	esgotat
disgust	disgustat
infallible	infalible
outburst	explosió
refutes	refuta
wretchedly	desgraciadament
deform	deformar
blaspheme	blasfemar
exuberantly	exuberant
failure	fracàs
negativity	negativitat
meltdown	fuga
cataclysmal	cataclisme
madly	boig
draining	drenatge
fail	falla
enchanted	encantat
ludicrous	ridícul
hates	odia
extermination	extermini
dumbfounding	absurd
advantageously	avantatjosament
marvel	meravella
bigotry	fanatisme
attraction	atracció
greedy	cobdiciós
heartbreakingly	desgarradorament
over-valuation	sobrevaloració
spotless	impecable
delusional	delirant
infection	infecció
unemployed	aturat
privileged	privilegiada
ambivalence	ambivalència
gratifies	gratifica
undermining	soscavant
symptoms	símptomes
ecstasies	Èxtasis
conspirator	conspirador
conflict	conflicte
invincible	invencible
allergic	al·lèrgic
emphatic	enfàtic
covetous	avorrit
pig	porc
epidemic	epidèmia
greed	avidesa
speedy	ràpid
fleer	fang
lackluster	absurd
assuring	assegurant
discontinuous	discontinu
felicitous	felicitat
rapturous	estúpids
expunge	expulsar
awesome	increïble
banalize	banalizar
cheer	alegria
capability	capacitat
ebulliently	exageradament
addicted	addicta
disarray	desordre
isolate	aïllar
prosperous	pròsper
glamorous	glamurós
concession	concessió
mistress	amant
drunk	borratxo
elegance	elegància
talented	talentós
freak	monstre
savagery	salvatgisme
impartially	imparcial
detracting	disminuir
hangs	penja
ax	destral
vociferous	vociferant
ugly	fea
traped	enganxat
humming	tararejant
gladden	alegre
hysterical	histèric
lurch	empeny
perversion	perversió
blind	cec
slut	puta
creaking	cruixit
effusion	efusión
inexpiable	inexpugnable
shortcoming	deficiència
defeated	derrotat
comfortably	còmodament
incongruous	incongruent
spurious	espurio
unsecure	insegura
acclamation	aclamació
exceeds	excedeix
handy	pràctic
avalanche	allau
enslave	esclau
extraneous	estrany
wholesome	saludable
belligerence	beligerància
foulness	faltes
bruised	ferit
exile	exili
get-rich	enriquir-se
conspire	conspié
embarrassingly	vergonyós
regretful	lamentable
squeaks	crits
posturing	postura
bloody	sagnant
reckless	imprudent
aspersion	aspersió
uncollectible	incobrable
revenge	venjança
homage	homenatge
relish	gaudeix
outmoded	obsolets
nightmare	malson
treachery	traïció
gratification	gratificació
thrillingly	emocionant
jeeringly	enginyós
assassin	assassí
mesmerizing	fascinant
savaged	salvat
overweight	sobrepès
plight	malament
unlawful	il·legal
frenzied	frenètic
incompetently	incompetentment
debilitating	debilitat
weary	cansat
abrasive	abrasiu
biased	tendenciat
tingling	formigueig
agreeableness	acceptable
useful	Útil
strain	tensió
screwed-up	fotut
languor	languidesa
destroy	destruir
excitedly	emocionats
mockingly	burlón
drowning	ofegament
regrettable	lamentable
hustler	empujador
gusto	gust
discombobulate	descombobular
unintelligile	incomprensible
allergies	al·lèrgies
industrious	treballador
spookily	espantós
scrambling	lluitar
grisly	grisamente
temper	temperament
insignificantly	insignificantment
sag	caure
douchebag	gilipolles
incredible	increïble
enmity	enemistat
nauseating	nàusees
allege	al·leguen
irritate	irritar
works	funciona
warmth	calidesa
darken	fosc
catastrophes	catàstrofes
vagueness	vaguedat
stubbornness	obstinació
unhelpful	inútil
sermonize	sermonitzar
warmhearted	afable
distraughtly	distraient
twists	girs
sophisticated	sofisticat
unsteadiness	inestabilitat
cynicism	cinisme
bad	dolent
vibrated	vibrat
crappy	boig
overkill	excessiva
parasite	paràsit
improbability	improbabilitat
loyalty	lleialtat
unuseably	inutilitzable
ruthlessness	crueltat
rewardingly	gratificant
leaks	fuites
flounder	llistó
passionate	apassionat
cons	contres
aversion	aversió
threatening	amenaçant
dissention	dissensió
gold	or
disrepute	descrèdia
insensitive	insensible
jagged	dentat
entertain	entretenir
prowess	proesa
lurk	escampa
revival	revitalització
unclean	impur
discoutinous	discutiu
brashness	fastositat
rational	racional
complaint	queixa
honest	honesta
protective	protector
radically	radicalment
oasis	oasi
malaise	malestar
unforgettable	inoblidable
swiftness	rapidesa
lecherous	lleig
sloth	mandros
imposition	imposició
contradiction	contradicció
variety	varietat
idol	Ídol
redeem	redimir
shimmeringly	brillantment
die	morir
reasonable	raonable
protests	protestes
pessimistic	pessimista
anomaly	anomalia
vexation	vexació
meddlesome	confús
luminous	lluminós
elegantly	elegantment
marvelousness	meravellosa
useless	inútil
inexorably	inexorablement
harms	danys
slogging	entreteniment
dead-cheap	mort-barat
fright	espanto
worthlessness	inutilitat
venom	verí
cheerless	alegre
infirm	malalt
perilous	perillós
egotistical	egoista
ingenuous	ingenu
immature	immadur
peculiarly	curiosament
traitorous	traïdor
effectual	efectual
headway	avanç
malicious	maliciós
chronic	crònica
senile	senil
stresses	accentua
ignore	ignorar
interference	interferència
trustworthiness	confiança
cunt	boira
disaccord	desacord
aching	dolor
dotingly	elegantment
worked	treballat
disillusion	desilusió
dreadfully	terriblement
droop	caiguda
threaten	amenaça
wasted	desperdiciat
enthral	fascinant
disapprobation	desaprovació
enterprising	emprendedor
displease	disgusta
incredulously	incrèdulament
discord	discòrdia
inhuman	inhumans
incapable	incapaç
amiability	amabilitat
prideful	orgullós
distraction	distracció
indignant	indignat
mischief	travesura
luster	brillantor
intolerance	intolerància
sap	saba
aggressiveness	agressivitat
apologist	apologista
affectionate	afectuós
idiotically	idiota
effusive	efusiu
disconsolate	desconsolar
sumptuous	sumptuós
rubbish	escombraries
frantic	frenètic
vigilance	vigilància
understandable	comprensible
troubles	problemes
disregardful	desconsiderat
troublingly	inquietant
contamination	contaminació
contaminate	contaminar
long-winded	llargues
idyllic	idíl.lic
sty	estil
exultation	exultació
salute	saludem
educated	educat
dissemble	dissimular
ingenuity	enginy
breaks	trencaments
excellant	excel·lent
fairness	justícia
addict	addicta
streamlined	racionalitzat
conspiracies	conspiracions
crisp	cruixent
seedy	cutre
unorthodoxy	ortodòxia
dunce	duna
meticulously	meticulosament
disappointed	decebut
scar	cicatriu
unrest	disturbis
bravery	valentia
glitter	purpurina
killing	matant
frigging	freda
levity	lleugeresa
noise	soroll
innuendo	innocent
anarchy	anarquia
guilt	culpa
idolize	idolatrar
interferes	interfereix
suspicion	sospita
derision	burla
triumphal	triomfal
inextricably	inextricablement
deplete	esgotar
excited	emocionat
cleverly	intel·ligentment
dilemma	dilema
suffering	patiment
leakages	fuites
fatigued	fatigat
affirmative	afirmatiu
subjected	sotmès
audiciously	auditivament
proven	provat
plea	súplica
supports	suports
pauper	captaire
aspirations	aspiracions
unacceptablely	inacceptablely
fanfare	fanfàrria
grieving	dolent
clear	clar
frenzy	frenesí
sickening	malestar
reviled	rebel·lat
infuriatingly	indignant
fanciful	fantasia
blinding	cegamiento
grate	reixeta
unmoved	immòbil
horrendously	horriblement
discourteous	discurs
bondage	esclavitud
adulterated	adulterat
godlike	déu
nurturing	cuidant
maniacal	maníacs
trusty	confiat
breathtakingly	sorprenentment
sceptical	escèptic
flaws	defectes
exaltedly	exaltada
battering	batre
celebrate	celebrar
stressfully	estressant
malevolence	malvolença
resignation	renúncia
encouraging	encoratjador
disgracefully	desgraciadament
quiet	tranquil
regretfully	lamentablement
dazzled	enlluernat
uproariously	desordenadament
depressing	depriment
defame	defamació
civility	civilitat
sincerity	sinceritat
silly	tonto
invective	invectiva
snappy	Àgil
malady	malaltia
prosperity	prosperitat
attacks	atacs
issue	assumpte
blur	borrós
undecided	indecisos
jeopardize	compromès
scrambles	baralles
disobedience	desobediència
blurring	borrós
amusing	divertit
foolproof	infalible
peach	préssec
refined	refinat
wheedle	xinxeta
ache	dolor
rewarding	gratificant
deviation	desviació
irrecoverably	irrecuperablement
impinge	impactar
sullen	estremit
insulted	insultat
indifference	indiferència
precarious	precari
led	dirigit
perfection	perfecció
incomparably	incomparablement
crooked	tortuós
smelt	olor
fret	estret
unyielding	inflexible
frets	trasts
uncouth	inconscient
hatefulness	odio
stellarly	estel·lar
pamperedly	mimat
restrictive	restrictiu
horrific	horrible
tyranny	tirania
whimper	gemecs
scam	estafa
coercion	coerció
purify	purificar
disquiet	inquietud
disfavor	disgust
statuesque	estatueta
appreciates	s'aprecia
erroneous	errònia
smutty	boig
dazzling	deslumbrante
succumb	sucumbir
debauchery	desertatge
wrongly	erròniament
revive	reviure
champ	campió
free	gratuït
well	bé
stigmatize	estigmatitzar
tiresome	cansat
bargain	ganga
racists	racistes
malice	malícia
biases	biaixos
thug	brètol
defiance	desafiament
belated	tardà
unknown	desconegut
savings	estalvis
overdue	endarrerit
revoltingly	revoltant
cute	bonic
magnificently	magníficament
available	disponible
unpredictable	imprevisible
achievible	assolible
cheater	tramposo
discontent	descontentament
darkness	foscor
unfamiliar	desconegut
dilly-dally	tranquil·lament
inequality	desigualtat
audacity	audàcia
disagreement	desacord
victimize	victimitzar
repulsive	repulsiu
gallantly	galantly
perverted	pervertit
beautiful	bonic
prestigious	prestigiós
misalign	desalinear
redundancy	redundància
oppressors	opressors
desecrate	profanar
anger	ràbia
good	bo
averse	aversió
gorgeous	preciosa
celebrated	celebrat
inefficiency	ineficiència
stimulating	estimulant
bewildered	desconcertat
savages	salvatges
vivid	vívid
ignominiously	ignominiosament
dirt	brutícia
frustrates	frustra
adamant	ferm
dignify	dignificar
cocky	engreixat
intriguing	intrigant
inexcusably	inexcusablement
extravagantly	extravagantment
smear	tacar
rage	ràbia
dented	dentat
fame	fama
scoffingly	ridículament
unpleasant	desagradable
scold	escolta
distorted	distorsionat
civilize	civilitzar
negligence	negligència
ironic	irònic
devilish	diabòlic
incompliant	incompleta
fast-paced	ràpidament
clarity	claredat
unsure	insegura
paradoxically	paradoxalment
insupportably	insuportablement
assure	assegureu-vos
tumble	caure
horrified	horroritzat
skillful	hàbil
fainthearted	descoratjat
fury	fúria
promoter	promotor
satisfactory	satisfactori
clamorous	clamorós
imaculate	imacular
polarisation	polarització
erode	erosionar
outraged	indignat
filth	brutícia
weak	feble
guidance	guia
ached	dolgut
picturesque	pintoresc
expertly	expertment
wise	prudent
repulsiveness	repulsivitat
reprehension	reprensió
irreplacible	irreplasible
enlightenment	il·luminació
daring	atrevit
yawn	badallar
inaccuracy	inexactitud
effrontery	infart
devilment	diable
pinch	pessigar
risk	risc
ineffectual	ineficaç
death	mort
menace	amenaça
stew	guisat
avarice	avarícia
disingenuous	desconcertant
replaceable	reemplaçable
scrap	ferralla
sneering	esmaltant
detesting	detestant
pugnaciously	contundentment
defamatory	difamatori
swelled	inflat
hearten	corazonado
imperfection	imperfecció
defiler	desertor
aches	dolors
irreplaceable	irreemplaçable
stymied	estancat
willingness	voluntat
decrement	disminució
craze	mania
comical	còmic
supple	flexible
tortuous	tortuós
prominence	protagonisme
adoring	adorant
exagerate	exagerat
deaf	sord
confuse	confondre
overbearingly	sobriament
mocks	esmaga
unhappily	infeliç
efficient	eficient
innovation	innovació
admonishingly	admoncientment
problems	problemes
aggrieve	agraviar
crush	aixafar
degradation	degradació
patriot	patriota
forbid	prohibir
inordinate	exagerat
dead	mort
denunciation	denúncia
unsettlingly	inquietant
hurt	ferit
strangle	estrangular
spoils	botí
ample	Àmplia
exaltation	exaltació
denigrate	denigrar
skilled	expert
worsen	empitjorar
wimpy	boig
phobia	fòbia
fatalistic	fatalista
paltry	molest
supported	recolzat
purposeful	intencionat
trivialize	trivialitzar
appeal	apel·lació
tease	burlar
rocky	rocós
provocative	provocatiu
militancy	militància
coerce	coaccionar
deterrent	dissuasiu
self-coup	autocupo
clog	obstruir
enjoyed	gaudit
stall	parada
uncreative	incrèdul
beggar	captaire
misaligns	desalineaments
throb	boig
sagging	flacciditat
annoyingly	molest
proper	propi
peace	pau
foul	falta
cherish	estimar
immaculate	immaculada
slanderously	calumniant
declining	disminuint
pity	llàstima
nourish	nodrir
apathetically	apàticament
beseech	preguem
comfort	confort
unbeatable	immillorable
draconian	draconiano
fabulous	fabulós
exceptional	excepcional
ridiculous	ridícul
unneeded	innecessari
merry	alegre
portable	portàtil
negation	negació
intimidation	intimidació
coward	covard
incorrigibly	incorrigible
unwatchable	inviable
irreproachable	irreprotxable
desiring	desitjant
awarded	guardonat
unfaithful	infidel
dismissive	despreocupat
splatter	salpicaduras
redeeming	bescanvi
capriciousness	capritxós
unbiased	imparcial
snare	trampa
excite	excitar
flare	flamarada
brave	valent
deprive	privar
despairing	desesperació
impressiveness	impressivitat
obstinate	obstinat
nobly	noble
fatty	greix
fragrant	fragant
earnestness	serietat
noteworthy	destacat
dishonorablely	deshonorablely
disobedient	desobedient
accusations	acusacions
lone	solitari
disobey	desobeir
glee	alegria
mesmerize	hipnotitzar
complaining	queixant-se
thrilled	emocionat
sluts	puta
forlorn	allunyat
ruffian	rufià
gratifying	gratificant
syndrome	síndrome
nifty	increïble
shake	sacsejar
extoll	exaltar
loveliness	bellesa
illustrious	il·lustre
deplore	deplorar
counter-attacks	contraatacs
frighteningly	espantós
incognizant	inconscient
earnest	seriós
vibrantly	vibrantment
embarrassment	vergonya
isolation	aïllament
awkward	incòmode
unravel	desembolicar
versatile	versàtil
pamperedness	mims
divisive	divisiva
sufficiently	prou
overtaking	avançament
boredom	avorriment
thrilling	emocionant
discomfititure	descomfitfit
inspiration	inspiració
flimsy	feble
bereave	genial
lagging	retardat
enjoin	pregunteu
spade	pala
disgustingly	desagradable
savior	salvador
dominate	dominar
improbably	improbablement
masterful	magistral
patient	pacient
impressive	impressionant
hard	dur
punish	castigar
marvelous	meravellós
untenable	insostenible
soft	suau
distastefully	desagradable
lustrous	brillant
hogs	porcs
flares	bengales
deceit	engany
accusing	acusant
brighten	alegre
unnerving	indignant
splendid	esplèndida
disapproval	desaprovació
symptom	símptoma
retardedness	retard
calumnies	calúmnies
dripped	gotejat
repudiate	repudiar
fleeing	fugint
ailing	malalta
temptingly	temptant
hung	penjat
swift	ràpid
relentless	implacable
happy	feliç
reprehensible	reprensible
maturely	madur
apprehensively	aprensivament
flees	fuig
onerously	inertemente
risky	arriscat
propagandize	propaganda
notoriety	notorietat
mastery	domini
inflationary	inflacionista
gimmicked	immobilitzat
abort	avortar
dungeon	masmorra
passiveness	passivitat
forgetful	oblidat
vengeful	venjoso
exhilarating	estimulant
misery	misèria
ecenomical	ecènic
resounding	ressonant
hiliarious	alegre
coercive	coercitiu
malign	maligne
indecency	indecencia
undisputable	indiscutible
desolation	desolació
orphan	orfe
obnoxious	desagradable
callous	callós
split	dividir
deficiency	deficiència
disoobedient	desobedient
contrived	ideat
forceful	contundent
err	errar
drop-outs	abandonaments
needlessly	innecessàriament
productive	productiu
cramped	estret
infamous	infame
kills	mata
energize	energitzar
regrets	lamenta
scandalous	escandalós
humid	humit
dangerous	perillós
individualized	individualitzat
accurate	precís
conflicting	conflictiu
ineloquent	ineloqüent
tenacious	tenaç
impugn	impugnar
dragged	arrossegat
sensationalize	sensacionalitzar
outrageously	escandalosament
reactionary	reaccionari
slave	esclau
blotchy	taca
sensitive	sensible
puzzling	desconcertant
prize	premi
compassion	compassió
hideousness	horrible
protesting	protestant
costly	costós
impatiently	impacient
autocrat	autòcrata
impassioned	apassionat
insulting	insultant
hastily	precipitadament
unquestionably	indubtablement
infiltrators	infiltrats
dick	polla
inflammatory	inflamatori
bullish	alcista
onerous	onerós
irresponsibly	irresponsablement
illness	malaltia
slowwww	disminuir
precipitate	precipitar
zealot	zelot
worryingly	preocupant
worries	preocupacions
wreak	provoca
inequalities	desigualtats
sensationally	sensacionalment
handsomely	genial
tempest	tempesta
reject	rebutjar
pest	plaga
exasperatingly	exasperant
bitchy	genial
delightfulness	delícia
tragedy	tragèdia
agonizing	agonitzant
heinous	horrible
worthiness	vàlua
apocalypse	apocalipsi
quarrel	baralla
commitment	compromís
defrauding	defraudant
degradingly	degradant
trashed	escombraries
selfishness	egoisme
rectify	rectificar
deploringly	deplorant
joyfully	alegrement
punctual	puntual
imbalance	desequilibri
nosey	boig
tenacity	tenacitat
abruptly	bruscament
excels	sobresurt
top	superior
stimulative	estimulant
mistrust	desconfiança
supremacy	supremacia
gains	guanys
amazes	sorprèn
issues	problemes
struggle	lluita
prefers	prefereix
hysteria	histeria
benefits	beneficis
misfortune	desgràcia
glimmering	brillant
pale	pàl·lid
pan	pa
accomplished	realitzat
fantastic	fantàstic
crashing	estavellant
madman	boig
dissolute	dissolt
disgruntled	descontent
rosy	rosat
lethargy	letargia
unreasonable	irracional
abominate	abominar
jumpy	saltós
elite	elit
usurper	usurpador
innocuous	innocu
carefree	despreocupat
preferably	preferiblement
treacherous	traïdor
flee	fugir
imprecate	imprec
stink	pudor
empathy	empatia
dragoon	drac
prodigious	prodigiós
skeptic	escèptic
affinity	afinitat
undesirable	indesitjable
fallaciousness	fallida
flareup	esclatar
sneaky	furtiu
victorious	victoriós
exquisitely	exquisitament
insanely	insanamente
bruising	moretones
yay	visca
blame	culpa
refreshing	refrescant
sturdy	resistent
abysmal	abismal
applaud	aplaudir
sober	sobri
poisonously	enverinant
effective	eficaç
traumatized	traumatizado
reprove	reproveix
uproar	esclat
murderer	assassí
bump	bony
kill	matar
mistrustful	desconfiat
gorgeously	magníficament
inefficient	ineficient
unacceptably	inacceptable
violators	infractors
aggravating	agreujant
inspirational	inspirador
disarm	desarmar
priceless	inestimable
troubling	inquietant
uneven	desigual
vibrates	vibra
willing	disposat
bonkers	bufadors
obscured	enfosquit
ugliness	lletjor
wrinkled	arrugat
deject	expulsar
discontented	descontent
painfull	dolorós
lagged	retardat
lethal	letal
