2-faces	2-caras
invective	invectiva
inveigle	seducir
inventive	inventivo
invidious	injusto
invidiously	envidiosamente
invigorate	vigorizar
invigorating	vigorizante
invincibility	invencibilidad
invincible	invencible
inviolate	inviolado
involuntarily	involuntariamente
involuntary	involuntario
irate	airado
irately	airadamente
ire	ira
irked	irritado
irk	fastidiar
irksome	molesto
irksomeness	fastidio
ironical	irónico
ironically	irónicamente
ironic	irónico
ironies	ironías
irony	ironía
irrational	irracional
irrationalities	irracionalidades
irrationality	irracionalidad
irrationally	irracionalmente
irrationals	irracionales
irreconcilable	irreconciliable
irrecoverable	irrecuperable
irrecoverably	irrecuperable
irredeemable	irredimible
irregularity	irregularidad
irrelevance	irrelevancia
irrelevant	irrelevante
irreplaceable	irremplazable
irrepressible	irreprimible
irreproachable	irreprochable
irresistibly	irresistiblemente
irresolute	irresoluto
irresolvable	irresoluble
irresponsible	impulsivo
irresponsibly	irresponsable
irretrievable	irreparable
irritably	irritado
irritant	irritante
irritated	irritado
irritate	irritación
irritating	irritante
irritation	irritación
irritations	irritaciones
isolate	aislar
isolated	aislado
isolation	aislamiento
issue	cuestión
issues	cuestiones
itching	prurito
itch	prurito
itchy	picante
jabber	farfullar
jaded	hastiado
jagged	dentado
jam	mermelada
jarring	discorde
jaundiced	ictérico
jaw-droping	asombroso
jaw-dropping	asombroso
jealous	celoso
jealously	celosamente
jealousy	celos
jeer	burla
jeering	burlas
jeeringly	burlonamente
jeers	burlas
jeopardy	peligro
jerk	tirón
jerky	espasmódico
jitters	nervios
jittery	nervioso
job-killing	trabajo-matanza
joke	broma
joker	comodín
jollify	alegrar
jolly	alegre
jolt	sacudida
joy	alegría
joyful	alegre
joyfully	alegremente
joyous	jubiloso
joyously	gozosamente
jubilant	jubiloso
jubilantly	jubilosamente
jubilate	jubilar
jubilation	jubilación
judders	vibra
judder	vibración
judicious	juicioso
jumpy	asustadizo
junk	basura
junky	adicto
justly	justamente
keen	humos
keenly	agudamente
keenness	agudeza
killed	matado
killer	asesino
killing	matanza
killjoy	aguafiestas
kill	matar
kills	muertes
kindliness	bondad
kindly	amablemente
kindness	bondad
knave	sota
knife	cuchillo
knock	llamar
knotted	anudado
knowledgeable	experto
kooky	excéntrica
kudos	prestigio
lackadaisical	lánguido
lacked	carecido
lackey	lacayo
lackeys	lacayos
lack	falta
lacking	carente
lackluster	deslucido
lacks	carece
laconic	lacónico
lagged	lag
lagging	retraso
laggy	lag
lag	retraso
lags	desfases
laid-off	despedidos
lame	cojo
lame-duck	saliente
lamentably	lamentablemente
lament	lamento
languid	lánguido
languish	languidecer
languor	languidez
languorous	lánguido
languorously	langurosamente
lanky	larguirucho
lapsed	caducado
lapse	lapso
lapses	lapsos
lascivious	lascivo
laudable	loable
laudably	laudablemente
laud	alabar
laughable	cómico
laughingstock	hazmerreír
lavishly	profusamente
lavish	pródigo
lawbreaker	transgresor
lawful	legal
lawfully	legalmente
lawless	ilegal
lawlessness	desorden
layoff	despido
lazy	perezoso
lead	conducir
leading	líder
leads	plomos
leakage	fuga
leakages	fugas
leak	fuga
leaking	fugas
leaks	fugas
leaky	agujereado
lean	magro
lecherous	lascivo
lechery	lascivia
leech	sanguijuela
leery	sospechoso
legendary	legendario
lemon	limón
lengthy	largo
lethal	letal
lethargic	letárgico
lethargy	letargo
leverage	apalancamiento
levity	ligereza
lewd	lascivo
lewdly	lascivamente
lewdness	lascivia
liability	responsabilidad
liable	responsable
liar	mentiroso
liars	mentirosos
liberate	liberar
liberation	liberación
liberty	libertad
licentious	licencioso
licentiously	licenciosamente
licentiousness	libertinaje
lied	mentido
lie	mentira
lies	mentiras
lifesaver	salvavidas
lighter	encendedor
light-hearted	alegre
likable	agradable
likes	gustos
liking	gusto
limitation	limitación
limitations	limitaciones
limited	limitado
limit	límite
limits	límites
limp	cojear
lionhearted	valiente
listless	apático
litigious	litigioso
lively	animado
livid	lívido
lividly	lívidamente
loathe	detestar
loathing	aborrecimiento
loathsomely	repugnantemente
loathsome	repugnante
logical	lógico
loneliness	soledad
lonely	solitario
loner	solitario
lone	solitario
lonesome	solitario
longing	anhelo
longingly	añoranza
long-winded	prolijo
loophole	escapatoria
loopholes	lagunas
loose	suelto
loot	botín
lose	perder
loser	perdedor
losers	perdedores
loses	pierde
losing	perder
losses	pérdidas
loss	pérdida
lost	perdido
loud	ruidoso
lousy	piojoso
lovable	amable
love	amor
loved	amado
loveliness	hermosura
lovely	precioso
lover	amante
loves	ama
loving	amoroso
lowly	humilde
loyal	leal
loyalty	lealtad
lucid	lúcido
lucidly	lúcidamente
luckier	suerte
luck	suerte
lucky	afortunado
lucrative	lucrativo
ludicrously	ridículamente
ludicrous	ridículo
lugubrious	lúgubre
lukewarm	tibio
lull	calma
luminous	luminoso
lumpy	grumoso
lunatic	lunático
lurch	estacada
lure	señuelo
lurid	espeluznante
lurking	acecho
lush	exuberante
luster	lustre
lustrous	lustroso
luxuriant	exuberante
luxuriate	deleitarse
luxurious	lujoso
luxuriously	lujosamente
luxury	lujo
lying	acostado
lyrical	lírico
macabre	macabro
madden	enloquecer
maddening	enloquecedor
maddeningly	exasperantemente
madder	rubia
mad	loco
madly	locamente
madman	loco
madness	locura
magical	mágico
magic	magia
magnanimously	magnánimamente
magnanimous	magnánimo
magnificence	magnificencia
magnificently	magníficamente
magnificent	magnífico
majestic	majestuoso
majesty	majestad
maladjusted	inadaptado
maladjustment	inadaptación
malady	enfermedad
malaise	malestar
malcontent	malcontento
malevolence	malevolencia
malevolent	malévolo
malice	malicia
maliciously	maliciosamente
malicious	malicioso
maliciousness	malicia
malignant	maligno
malign	maligno
malodorous	maloliente
manageable	manejable
maneuverable	maniobrable
mangled	mutilado
mangle	exprimidor
maniacal	maníaco
maniac	maníaco
mania	manía
manic	maníaco
manipulate	manipular
manipulation	manipulación
manipulative	manipulativo
manipulators	manipuladores
marginally	ligeramente
martyrdom	martirio
marveled	maravillado
marvelled	maravillado
marvellous	maravilloso
marvel	maravilla
marvelously	maravillosamente
marvelous	maravilloso
marvels	maravillas
mashed	puré
massacre	matanza
massacres	masacres
masterfully	magistralmente
masterful	maestro
master	maestro
mastery	maestría
matchless	incomparable
matte	mate
mature	maduro
maturity	madurez
mawkish	empalagoso
mawkishness	sensiblería
meager	exiguo
meaningful	significativo
meanness	mezquindad
measly	miserable
meddle	entrometerse
meddlesome	entrometido
mediocrity	mediocridad
melancholy	melancolía
melodramatically	melodramáticamente
melodramatic	melodramático
meltdown	crisis
menace	amenaza
menacing	amenazador
mendacious	mendaz
mendacity	mendacidad
menial	servil
mercifully	piadosamente
merciful	misericordioso
merciless	despiadado
mercy	misericordia
merit	mérito
meritorious	meritorio
merrily	alegremente
merriment	alegría
merriness	alegría
merry	alegre
mesmerized	hipnotizado
mesmerize	hipnotizar
mesmerizes	hipnotiza
mesmerizing	fascinante
messes	líos
messing	ensuciando
mess	lío
messy	confuso
meticulously	meticulosamente
meticulous	meticuloso
midget	enano
miff	disgustar
mightily	poderosamente
mighty	poderoso
militancy	militancia
mind-blowing	alucinante
miracle	milagro
miracles	milagros
miraculous	asombroso
miraculously	milagrosamente
mirage	espejismo
mire	fango
misalign	desalinear
misaligned	desalineada
misaligns	desalinea
misbegotten	bastardo
miscellaneous	diverso
mischief	travesura
mischievously	maliciosamente
mischievous	travieso
miscreant	bellaco
miscreants	malhechores
miserable	desgraciado
miserably	tristemente
miser	avaro
miseries	miserias
miserly	avaro
misery	miseria
misfit	inadaptado
misfortune	desgracia
misgiving	recelo
misgivings	recelos
misguidance	extravío
misguided	equivocado
mishap	percance
mislead	engañar
misleading	engañoso
misleadingly	engañosamente
misrepresentation	falsificación
misrepresent	falsificar
missed	perdido
misses	pierde
miss	señorita
mistake	error
mistaken	equivocado
mistakenly	erróneamente
mistakes	errores
mist	niebla
mistress	amante
mistrust	desconfianza
mistrustful	desconfiado
mistrustfully	desconfianza
mists	nieblas
misunderstanding	malentendido
misunderstandings	malentendidos
misunderstood	malinterpretado
moan	gemido
mobster	gángster
mocked	burlado
mockeries	burlas
mockery	burlas
mocking	burlón
mockingly	burlonamente
mocks	burla
mock	simulado
modern	moderno
modest	modesto
modesty	modestia
molestation	acoso
molest	molestar
momentous	trascendental
monotonous	monótono
monotony	monotonía
monster	monstruo
monstrosities	monstruosidades
monstrosity	monstruosidad
monstrously	monstruosamente
monstrous	monstruoso
monumentally	monumentalmente
moot	discutible
mope	melancólico
morality	moralidad
morbidly	mórbida
morbid	mórbido
mordantly	mordazmente
mordant	mordaz
moribund	moribundo
moronic	imbécil
moron	idiota
morons	tarados
mortification	mortificación
mortified	mortificado
mortifying	mortificante
mortify	mortificar
motionless	inmóvil
motivated	motivado
motley	abigarrado
mourner	doliente
mournfully	tristemente
mournful	triste
mourn	llorar
muddle	embrollo
muddy	fangoso
mudslinging	vilipendio
mulish	terco
multi-polarization	multipolarización
multi-purpose	multiuso
mundane	mundano
murder	asesinato
murderer	asesino
murderous	asesino
murky	turbio
muscle-flexing	músculo-flexión
mushy	mollar
musty	mohoso
mysteriously	misteriosamente
mysterious	misterioso
mystery	misterio
mystify	mistificar
myth	mito
nagging	persistente
nag	rocín
naive	ingenuo
naïve	ingenuo
naively	ingenuamente
nastily	groseramente
nastiness	suciedad
nasty	repugnante
naughty	travieso
nauseate	repugnar
nauseates	náuseas
nauseatingly	asquerosamente
nauseating	nauseabundo
navigable	navegable
neatly	pulcramente
neat	ordenado
nebulously	vagamente
nebulous	nebuloso
need	necesitan
needed	necesitaba
needed	necesitaban
needless	innecesario
needlessly	innecesariamente
needs	necesita
needy	necesitado
nefariously	vilmente
nefarious	vil
negate	negar
negation	negación
negative	negativo
negatives	negativos
negativity	negatividad
neglected	descuidado
neglect	neglecta
negligence	negligencia
negligent	negligente
nemesis	justicia
nepotism	nepotismo
nervously	nerviosamente
nervous	nervioso
nervousness	nerviosismo
nettle	ortiga
nettlesome	irritante
neurotically	neuróticamente
neurotic	neurótico
nice	agradable
nicely	bien
nicest	mejor
nifty	elegante
niggle	queja
niggles	peros
nightmare	pesadilla
nimble	ágil
nobly	noble
noiseless	silencioso
noise	ruido
noises	ruidos
noisy	ruidoso
nonexistent	inexistente
nonsense	disparates
nosey	fisgón
notably	notablemente
noteworthy	notable
notoriously	notoriamente
notorious	notorio
nourishing	nutritiva
nourishment	alimento
nourish	nutrir
novelty	novedad
noxious	nocivo
nuisance	molestia
numb	entumecido
nurturing	crianza
obese	obeso
objectionable	objetable
objection	objeción
objections	objeciones
object	objeto
oblique	oblicuo
obliterated	obliterado
obliterate	obliterar
obnoxious	desagradable
obnoxiously	odiosamente
obscenely	obscenamente
obscene	obsceno
obscenity	obscenidad
obscured	oscurecido
obscure	oscuro
obscures	oscurece
obscurity	oscuridad
obsession	obsesión
obsessions	obsesiones
obsessively	obsesivamente
obsessiveness	obsesión
obsessive	obsesionante
obsess	obsesionar
obsolete	obsoleto
obstacle	obstáculo
obstinately	obstinadamente
obstinate	obstinado
obstructed	obstruido
obstructing	obstructivo
obstruction	obstrucción
obstruct	obstruir
obstructs	obstruye
obtainable	asequible
obtrusive	molesto
obtuse	obtuso
occluded	ocluido
occlude	ocluir
occludes	ocluye
occluding	oclusión
odd	impar
oddities	rarezas
oddity	rareza
oddly	extrañamente
odor	olor
offence	delito
offender	delincuente
offending	infractor
offend	ofender
offenses	delitos
offensively	ofensivamente
offensiveness	ofensivo
offensive	ofensiva
officious	oficioso
ominously	ominosamente
ominous	siniestro
omission	omisión
omit	omitir
onerously	onerosa
onerous	oneroso
one-sided	unilateral
onslaught	embate
openly	abiertamente
openness	franqueza
opinionated	dogmático
opponent	adversario
opportunistic	oportunista
opposition	oposición
oppositions	oposiciones
oppression	opresión
oppressively	opresivamente
oppressiveness	opresión
oppressive	opresivo
oppress	oprimir
oppressors	opresores
optimal	óptima
optimism	optimismo
optimistic	optimista
opulent	opulento
ordeal	ordalías
orderly	ordenado
originality	originalidad
orphan	huérfano
outbreak	brote
outburst	explosión
outbursts	arrebatos
outcast	marginado
outcry	grito
outdo	exceder
outdone	aventajado
outlaw	proscribir
outmoded	anticuado
outperformed	superado
outperforming	superando
outperforms	supera
outperform	superan
outrage	atropello
outraged	indignados
outrageous	indignante
outrageously	atrozmente
outrages	ultrajes
outshine	eclipsar
outshone	eclipsó
outsider	forastero
outsmart	burlar
outstandingly	sobresalientemente
outstanding	sobresaliente
outstrip	aventajar
outwit	burlar
ovation	ovación
over-acted	sobre-actuado
overacted	sobreactuado
overact	sobreactuar
over-balanced	sobre-equilibrada
overbalanced	sobrenivelado
overbearing	imperioso
overblown	marchito
overdo	exagerar
overdone	exagerado
overdue	atrasado
overemphasize	enfatizar
overheat	sobrecalentar
over-hyped	exageradas
overkill	exageración
overloaded	sobrecargado
overplay	exagerar
overpower	dominar
overpriced	caro
overrated	sobrevalorado
overreach	extralimitarse
overrun	invadir
overshadow	eclipsar
oversights	descuidos
oversight	vigilancia
oversimplification	sobresimplificación
oversimplified	simplificada
overstated	exagerado
overstate	exagerar
overstatement	exageración
overstatements	exageraciones
overstates	exagera
overtake	adelantar
overtaken	superado
overtakes	adelanta
overtaking	adelantamiento
overtaxed	sobrecargado
overthrow	derrocamiento
overthrows	derrocamientos
overtook	superó
overture	obertura
overturn	volcar
over-valuation	sobrevaloración
overweight	sobrepeso
overwhelm	abrumar
overwhelmed	abrumado
overwhelming	aplastante
overwhelmingly	abrumadoramente
overwhelms	abruma
pain	dolor
painful	doloroso
painfully	penosamente
pains	esfuerzos
palatial	palaciego
pale	pálido
pales	palidece
paltry	miserable
pamperedly	mimado
pampered	mimado
pamperedness	mimo
pamper	mimar
pampers	mima
pan	cacerola
pandemonium	pandemonio
pander	alcahuete
pandering	proxenetismo
panders	alcahuetes
panicked	pánico
panicking	pánico
panick	pánico
panic	pánico
panoramic	panorámico
paradise	paraíso
paradoxically	paradójicamente
paradoxical	paradójico
paralize	paralizar
paralyzed	paralizado
paramount	importantísimo
paranoid	paranoico
parasite	parásito
pardon	perdón
pariah	paria
parody	parodia
partiality	parcialidad
partisan	partidario
partisans	partidarios
passionate	apasionado
passionately	apasionadamente
passion	pasión
passiveness	pasividad
passive	pasivo
pathetically	patéticamente
pathetic	patético
patience	paciencia
patiently	pacientemente
patient	paciente
patriotic	patriótico
patriot	patriota
patronize	patrocinar
paucity	escasez
pauper	pobre
paupers	pobres
peaceable	pacífico
peaceful	pacífico
peace	paz
peach	melocotón
peculiarly	extrañamente
pedantic	pedante
peeled	pelado
peeved	furioso
peevish	malhumorado
penalize	penalizar
penalty	pena
pep	brillo
perfection	perfección
perfectly	perfectamente
perfect	perfecto
perfidious	pérfido
perfunctory	superficial
perilously	peligrosamente
perilous	peligroso
peril	peligro
perish	perecer
permissible	permisible
pernicious	pernicioso
perplexed	perplejo
perplexing	confuso
perplexity	perplejidad
persecute	perseguir
persecution	persecución
perseverance	perseverancia
persevere	perseverar
personages	personajes
personalized	personalizado
pertinaciously	pertinazmente
pertinacious	pertinaz
pertinacity	pertinacia
perturbed	perturbado
perturb	perturbar
pervasive	penetrante
perversely	perversamente
perverse	perverso
perversion	perversión
perversity	perversidad
perverted	pervertido
pervert	pervertido
perverts	pervertidos
pessimism	pesimismo
pessimistic	pesimista
pestilent	pernicioso
pest	parásito
petrified	petrificado
petrify	petrificar
petty	mezquino
phenomenal	fenomenal
phenomenally	fenomenalmente
phobia	fobia
phobic	fóbico
phony	falso
picketed	piquetes
picketing	piquetes
picket	piquete
pickets	piquetes
picky	exigente
picturesque	pintoresco
piety	piedad
pig	cerdo
pigs	cerdos
pillage	saqueo
pillory	picota
pimple	espinilla
pinch	pellizcar
pinnacle	pináculo
pique	piqué
pitiable	lamentable
pitiful	lamentable
pitifully	lastimosamente
pitiless	despiadado
pittance	miseria
pity	lástima
plagiarize	plagiar
plague	plaga
playful	juguetón
plaything	juguete
pleasant	agradable
pleasantly	agradablemente
pleased	satisfecho
pleases	plazca
pleasing	agradable
pleasingly	agradablemente
pleas	súplicas
plea	súplica
pleasurable	placentero
pleasurably	agradablemente
pleasure	placer
plebeian	plebeyo
plentiful	abundante
plight	situación
plot	parcela
ploy	táctica
plunderer	saqueador
plunder	saqueo
pluses	ventajas
plush	felpa
plusses	pros
poeticize	poetizar
poetic	poético
poignant	conmovedor
pointless	inútil
pointlessly	inútilmente
poised	listo
poise	porte
poisonously	venenosamente
poisonous	nocivo
poison	tóxico
pokey	diminuto
poky	diminuto
polarisation	polarización
polemize	polemizar
polished	pulido
polite	educado
politeness	cortesía
pollute	contaminar
polluter	contamina
polluters	contaminadores
polution	contaminación
pompous	pomposo
poorly	mal
poor	pobre
portable	portátil
posh	elegante
positively	afirmativamente
positive	positivo
positives	positivos
posturing	posturas
pout	abadejo
poverty	pobreza
powerfully	poderosamente
powerful	potente
powerless	impotente
praise	alabanza
praiseworthy	loable
praising	alabando
prate	prateek
prattle	parloteo
precariously	precariamente
precarious	precario
precious	precioso
precipitate	precipitar
precipitous	escarpado
precisely	precisamente
precise	preciso
predatory	depredador
predicament	predicamento
pre-eminent	preeminente
preeminent	preeminente
preferable	preferible
preferably	preferiblemente
prefered	preferida
prefer	preferir
preferring	prefiriendo
prefers	prefiere
prejudge	prejuzgar
prejudice	prejuicio
prejudices	prejuicios
prejudicial	perjudicial
premeditated	premeditado
preoccupy	preocupar
preposterous	absurdo
prestige	prestigio
prestigious	prestigioso
presumptuously	presuntuosamente
presumptuous	presuntuoso
pretence	pretensión
pretend	pretender
pretense	pretensión
pretentiously	pretenciosamente
pretentious	pretencioso
prettily	bonitamente
pretty	bastante
prevaricate	prevaricar
priceless	inestimable
pricey	caro
prickle	espina
prickles	espinas
prick	pinchazo
prideful	orgulloso
pride	orgullo
primitive	primitivo
prisoner	prisionero
prison	prisión
privileged	privilegiado
privilege	privilegio
prize	premio
proactive	proactivo
problematic	problemas
problem	problema
problems	problemas
procrastinate	aplazar
procrastinates	posterga
procrastination	dilación
prodigiously	prodigiosamente
prodigious	prodigioso
prodigy	prodigio
productively	productivamente
productive	productivo
profane	profano
profanity	blasfemia
proficient	competente
proficiently	soltura
profoundly	profundamente
profound	profundo
profuse	liberal
profusion	profusión
progressive	progresivo
progress	progreso
prohibitively	prohibitivamente
prohibitive	prohibitivo
prohibit	prohibir
prolific	prolífico
prominence	prominencia
prominent	prominente
promised	prometido
promise	promesa
promises	promesas
promising	propicio
promoter	promotor
prompt	rápido
proper	correcto
properly	correctamente
propitious	propicio
proprietary	propietario
prosecute	procesar
prosperity	prosperidad
prosperous	próspero
prosper	prosperar
protection	protección
protect	proteger
protested	protestado
protesting	protestar
protest	protesta
protests	protestas
protracted	prolongado
proud	orgulloso
proven	probado
proves	prueba
providence	providencia
proving	prueba
provocation	excitación
provocative	provocativo
provoke	provocar
prowess	proeza
prudence	prudencia
prudently	prudentemente
prudent	prudente
pry	palanca
pugnacious	pugnaz
pugnacity	pugnacidad
punch	ponche
punctual	puntual
punishable	castigable
punish	castigar
punitive	punitivo
puppet	marioneta
puppets	marionetas
pure	puro
purify	purificar
purposeful	útil
puzzled	perplejo
puzzlement	perplejidad
puzzling	misterioso
quack	charlatán
quaint	pintoresco
qualified	calificado
qualify	calificar
qualm	náusea
qualms	reparos
quandary	dilema
quarrel	pelea
quarrelsome	pendenciero
quarrels	peleas
quash	anular
queer	extraño
questionable	dudoso
quibbles	problemillas
quibble	sutileza
quiet	tranquilo
quitter	cobarde
rabid	rabioso
racism	racismo
racist	racista
racists	racistas
racy	picante
radiance	resplandor
radiant	radiante
radicalization	radicalización
radically	radicalmente
radicals	radicales
rage	rabia
ragged	harapiento
raging	rabioso
raked	rastrillado
rampage	alboroto
rampant	rampante
ramshackle	desvencijado
rancor	rencor
randomly	azar
rankle	doler
rant	despotricar
ranted	despotricó
ranting	desvaríos
rants	rantes
raped	violada
rape	violación
rapid	rápido
rapport	compenetración
rapt	absorto
rapture	rapto
rapturous	delirante
rascal	bribón
rascals	bribones
rash	erupción
rational	racional
rattled	sacudido
rattle	sonajero
rattles	sonajas
ravage	destrozar
raving	delirio
razor-sharp	afilada
reachable	alcanzable
reactionary	reaccionario
readable	legible
readily	fácilmente
ready	listo
reaffirmation	reafirmación
reaffirm	reafirmar
realistic	realista
reasonable	razonable
reasonably	razonablemente
reasoned	razonada
reassurance	seguridades
reassure	tranquilizar
rebellious	rebelde
rebuff	rechazo
rebuke	reprensión
recalcitrant	recalcitrante
recant	retractar
receptive	receptivo
recessionary	recesivo
recession	recesión
recklessly	imprudentemente
recklessness	imprudencia
reckless	temerario
reclaim	reclamar
recoil	retroceso
recomend	recomiendo
recommendation	recomendación
recommendations	recomendaciones
recommended	recomendado
recommend	recomendar
reconcile	reconciliar
reconciliation	reconciliación
record-setting	récord
recourses	recursos
recover	recuperar
recovery	recuperación
rectification	rectificación
rectifying	rectificación
rectify	rectificar
redeeming	redentor
redeem	redimir
redemption	redención
redundancy	redundancia
redundant	redundante
refined	refinado
refinement	refinamiento
refine	refinar
reformed	reformado
reforming	reformando
reform	reforma
reforms	reformas
refreshed	refrescado
refreshing	refrescante
refresh	refrescar
refunded	reintegrado
refund	reembolso
refusal	negativa
refused	rechazado
refuse	rechazar
refuses	niega
refusing	negándose
refutation	refutación
refuted	refutado
refute	refutar
refutes	refuta
refuting	refuta
regally	regiamente
regal	regio
regard	respecto
regression	regresión
regressive	regresivo
regress	retroceder
regretful	pesaroso
regret	lamentar
regrets	excusas
regrettable	lamentable
regrettably	lamentablemente
regretted	lamentar
rejected	rechazado
rejecting	rechazando
rejection	rechazo
reject	rechazar
rejects	rechaza
rejoice	alegrarse
rejoicing	alegría
rejuvenated	rejuvenecido
rejuvenate	rejuvenecer
rejuvenating	rejuvenecedor
relapse	recaída
relaxed	relajado
relent	ablandarse
relentless	implacable
relentlessly	implacablemente
relentlessness	implacabilidad
reliably	fiable
relief	alivio
relish	saborear
reluctance	renuencia
reluctant	reacio
remarkable	notable
remarkably	extraordinariamente
remedy	remedio
remission	remisión
remorseful	arrepentido
remorsefully	remordimiento
remorseless	implacable
remorselessness	implacabilidad
remorse	remordimiento
remunerate	remunerar
renaissance	renacimiento
renewed	renovado
renounce	renunciar
renowned	renombrado
renown	renombre
renunciation	renuncia
repel	repeler
repetitive	repetitivo
replaceable	reemplazable
reprehensible	censurable
reprehensibly	censurablemente
reprehension	reprensión
reprehensive	reprensibles
repression	repressió
repressive	represivo
repress	reprimir
reprimand	reprimenda
reproach	reproche
reprove	reprender
repudiate	repudiar
repudiation	repudio
repugnance	repugnancia
repugnantly	repugnantemente
repugnant	repugnante
repulsed	repelido
repulse	repulsión
repulsing	repeliendo
repulsiveness	repulsividad
repulsive	repulsivo
reputable	acreditado
reputation	reputación
resentful	resentido
resentment	resentimiento
resignation	renuncia
resigned	resignado
resilient	resistente
resistance	resistencia
resolute	resuelto
resounding	rotundo
resourceful	ingenioso
resourcefulness	inventiva
respectable	respetable
respectfully	respetuosamente
respectful	respetuoso
respect	respeto
respite	respiro
resplendent	resplandeciente
responsibly	responsable
responsive	sensible
restful	sosegado
restless	inquieto
restlessness	inquietud
restored	restaurada
restricted	restringido
restriction	restricción
restrictive	restrictivo
restrict	restringir
restructured	reestructurado
restructure	reestructurar
restructuring	reestructuración
resurgent	resurgente
retaliatory	vengativo
retarded	retardado
retard	retardar
retards	retardados
reticent	reticente
retractable	retráctil
retract	retraer
retreated	retirado
retreat	retiro
revelation	revelación
revengefully	vengativamente
revengeful	vengativo
revenge	venganza
reverence	reverencia
reverently	reverentemente
reverent	reverente
revere	reverenciar
revert	revertir
reviled	denostado
revile	injuriar
revitalize	revitalizar
revival	renacimiento
revive	reanimar
revives	revive
revoke	revocar
revolting	repugnante
revolt	revuelta
revolutionary	revolucionario
revolutionized	revolucionado
revolutionize	revolucionar
revolutionizes	revoluciona
revulsion	repugnancia
revulsive	revulsivo
rewardingly	recompensadoramente
rewarding	provechoso
reward	recompensa
rhapsodize	extasiarse
rhetorical	retórico
rhetoric	rhetorica
ricer	arrocera
richly	ricamente
richness	riqueza
rich	rico
ridicule	ridículo
ridicules	burlas
ridiculously	ridículamente
ridiculous	ridículo
rife	abundante
rift	grieta
rifts	divisiones
right	derecho
righten	derecho
righteous	justo
righteously	rectamente
righteousness	justicia
rightful	legítimo
rightfully	legítimamente
rightly	correctamente
rightness	justicia
rigidity	rigidez
rigidness	rigidez
rigid	rígido
rip-off	estafa
ripoff	estafa
ripped	rasgado
rip	rasgón
risk	riesgo
risks	riesgos
risky	arriesgado
rivalry	rivalidad
roadblocks	usted
robust	robusto
rocky	rocoso
rogue	pícaro
romantically	románticamente
romanticize	romantizar
romantic	romántico
roomy	espacioso
rosy	rosado
rot	podredumbre
rotten	podrido
rough	áspero
rubbish	basura
rude	grosero
rue	ruda
ruffian	rufián
ruffle	volante
ruined	arruinado
ruining	arruinando
ruinous	ruinoso
ruin	ruina
ruins	ruinas
rumbling	retumbante
rumple	arrugar
runaway	fugitivo
run-down	deteriorado
rupture	ruptura
rust	herrumbre
rusts	royas
rusty	oxidado
ruthless	implacable
ruthlessness	crueldad
rut	rodera
ruts	roderas
sabotage	sabotaje
sack	saco
sacrificed	sacrificado
sadden	entristecer
sadness	tristeza
sad	triste
safe	seguro
sagacity	sagacidad
sagely	sabiamente
sagged	combado
sagging	hundimiento
saggy	flaccidez
sag	hundimiento
saintliness	santidad
saintly	santo
saint	santo
salacious	salaz
salutary	saludable
salute	saludo
sanctimonious	mojigato
sane	cuerdo
sap	savia
sarcasm	sarcasmo
sarcastically	sarcásticamente
sarcastic	sarcástico
sardonically	sardónicamente
sardonic	sardónico
satirical	satírico
satirize	satirizar
satisfactorily	satisfactoriamente
satisfactory	satisfactorio
satisfied	satisfecho
satisfies	satisfecho
satisfying	satisfactorio
satisfy	satisfacer
savagery	salvajismo
savage	salvaje
savages	salvajes
saver	ahorrador
savings	ahorros
savior	salvador
savvy	comprensión
scaly	escamoso
scam	estafa
scams	estafas
scandal	escándalo
scandalized	escandalizado
scandalize	escandalizar
scandalous	escandaloso
scandalously	escandalosamente
scandals	escándalos
scant	escaso
scarce	escaso
scarcely	escasamente
scar	cicatriz
scarcity	escasez
scared	miedo
scare	susto
scarily	aterradoramente
scarred	cicatrizado
scars	cicatrices
scathingly	mordazmente
scathing	mordaz
scenic	escénico
sceptical	escéptico
scoff	burlarse
scoffingly	burlón
scolded	regañado
scolding	regaño
scold	regaño
scorching	abrasador
scorchingly	abrasadoramente
scorn	desdén
scornful	desdeñoso
scornfully	desdeñosamente
scoundrel	canalla
scourge	azote
scowl	ceño
scrambled	revuelto
scramble	lucha
scrambles	revuelve
scrambling	aleatorización
scrap	residuos
scratched	rayado
scratches	arañazos
scratch	rasguño
scratchy	chirriante
scream	grito
screech	chillido
screwed	roscado
screwed-up	atornillado-up
screw-up	tornillo-up
screwy	absurdo
scuff	arrastrar
scuffs	desgastes
scum	escoria
scummy	espumoso
seasoned	sazonado
secretive	reservado
secure	asegurar
securely	segura
sedentary	sedentario
seedy	sórdido
seethe	bullir
seething	hirviente
selective	selectivo
self-coup	autogolpe
self-criticism	autocrítica
self-defeating	contraproducente
self-destructive	autodestructivo
self-determination	autodeterminación
self-humiliation	auto-humillación
self-interested	egoísta
selfish	egoísta
selfishly	egoístamente
selfishness	egoísmo
self-respect	dignidad
self-serving	auto-servicio
self-sufficiency	autosuficiencia
self-sufficient	autosuficiente
semi-retarded	semi-retardado
senile	senil
sensationally	sensacionalmente
sensational	sensacional
sensation	sensación
sensations	sensaciones
sensible	sensato
sensitive	sensible
serene	sereno
serenity	serenidad
seriousness	seriedad
sermonize	sermonear
servitude	servidumbre
setback	revés
setbacks	contratiempos
sever	cortar
severe	grave
severity	severidad
sexy	atractivo
shabby	lamentable
shadowy	sombrío
