stress	estresa
impetuous	indartsua
improvement	hobekuntza
panic	izua
redundant	erredundantea
talents	talentuak
disagreeable	desatsegina
defamatory	zoritxarrekoa
sardonic	sardoniarra
torturous	torturatzaileak
crush	bihurritu
degradation	degradazioa
powerfully	indartsua
fleeting	iheskor
darker	ilunagoa
worrisome	kezkagarria
transparent	gardena
hearten	bihotzez
remorselessly	gogaikarriak
imperfection	inperfekzioa
annoyingly	gogaikarriak
destitute	desegokia
untimely	ezgaraiko
slur	leuna
electrify	elektrify
willingness	borondatea
decrement	jaitsiera
affable	afable
falsify	falsifikatu
excite	ilusioa
comical	komikia
hallmark	zigilua
whiny	kexatia
greatest	handiena
felicity	zoriontasuna
peeled	zuritu
uncompromisingly	temati
idiocies	idioiak
boredom	aspertasuna
falsely	faltsuki
confuse	nahastu
distinctive	bereizgarria
overbearingly	gainbearinglyly
incomprehension	ulertezintasuna
unobserved	oharkabean
unhappily	zoritxarrez
breeze	brisa
efficient	eraginkorra
inconsolable	desatsegin
abscond	lausoa
unnoticed	oharkabean
contradict	kontrakoa
softer	leunagoa
stern	popa
disconcerting	ezezaguna
aggrieve	zorigaiztoko
regard	kontua
critical	kritikoa
fairly	nahiko
profoundly	sakonki
cramped	zurrunbiloa
forbid	debekatu
busybody	lanpetuta
comforting	erosotasuna
insensible	ezezaguna
dead	hilda
puppet	txotxongiloa
expropriation	desjabetzea
denunciation	salaketa
terror	terrorea
alarm	alarma
obscure	iluna
hurt	minik
resistance	erresistentzia
lies	gezurra
disruptive	kalteak
immature	heldugabeak
strangle	harritzekoa
bulkyness	gogortasuna
pertinacity	egokitasuna
ample	zabal
bribery	eroskeria
scandalously	eskandaluz
startlingly	izugarri
pleasurable	atsegina
profusion	profusa
corrosion	korrosioa
pertinacious	egokia
skilled	kualifikatua
masters	maisuak
intermittent	etengabe
offensiveness	indarkeria
diligent	arduratsua
misfortune	zorigaitza
pointless	ezinezkoa
affinity	afinitate
sharp	zorrotz
purposeful	helburua
appeal	errekurtsoa
flagrantly	bortizki
shadowy	itzal
moron	tontoa
hampered	oztopatua
notably	bereziki
losers	galtzaileak
coerce	indarra
deterrent	disuasio
self-coup	auto-kolpea
felicitate	zoriondu
providence	probintzia
enjoyed	gozatu
recommendation	gomendio
stall	saltoki
veritable	benetakoa
distains	ezartzen
despotic	despotikoa
beggar	eskale
costly	garestia
contribution	ekarpena
rifts	erredurak
poorly	gaizki
phenomenally	fenomenikoki
clogged	blokeatuta
disquietude	diskete
condescend	kondesatzen
proper	egokia
peace	bakea
foul	nazkagarria
static	estatiko
vindictiveness	mendekotasuna
fallaciousness	erruduntasuna
exalted	goratu
cherish	erantsi
lavishly	izugarri
rightness	eskubidea
immaculate	inmaculada
baffle	nahastu
pity	pena
nourish	elikatu
abnormal	anormal
dissonantly	disonantly
craftly	artisau
ethical	etikoa
beseech	galdetu
comfort	erosotasuna
congratulatory	zorionak
resplendent	argitsua
arduous	arduragabekeria
ardently	gogotsu
thoughtfulness	pentsamendua
dent	hortz
courageousness	ausardia
exceptional	apartekoa
ridiculous	barregarria
respectable	errespetagarria
merry	zorionak
portable	eramangarria
negation	negatiboa
incognizant	ezezaguna
invaluablely	invaluable
examplar	adibideak
coward	koldarra
prodigy	prodigia
robust	sendoa
upsettingly	atsekabe
shamefully	lotsagarri
sweet	gozoa
idiotic	tonto
incorrigibly	ezohiko
growl	hazten
panoramic	panoramikoa
vindictively	iraingarri
enhances	hobetzen
lawful	legezkoa
acerbic	akerbikoa
snob	esnoba
outcast	baztertuta
dismissive	baztertzailea
smitten	zoritxarrez
redeeming	truke
capriciousness	bitxikeria
unbiased	ezberdina
award	saria
snare	ixteko
ease	erraztasuna
flare	erlantz
brave	ausartak
ruinous	hondamena
deprive	desegin
clog	ezkutatu
despairing	desesperazioa
obstinate	gogaikarriak
overstatements	oztopoak
errors	akatsak
screwed-up	izorratu
nobly	noble
rapturously	zoritxarrez
fatty	gantz
implausible	inplorable
dynamic	dinamikoa
overjoyed	zoriontsu
heartless	bihozgabea
disobedient	desobedient
accusations	akusazioak
burn	erre
lone	bakarti
disadvantaged	desabantailen
fumes	keak
disobey	desobedientzia
absent-minded	adigalkor
complaining	kexan
strange	arraro
calumnious	sutsua
decry	desenkriptatu
weakness	ahultasuna
forlorn	iraungita
womanizing	emakume-zale
prominence	protagonismoa
bright	distiratsua
jealously	jeloskor
syndrome	sindromea
hot	beroa
cry	oihu
extoll	zoragarria
persecute	jazarpena
loveliness	zoriona
illustrious	ilustratzailea
calming	lasaitzea
declines	baztertzen
high-priced	goi-tasatuak
afflictive	afrikazkoa
erosion	higadura
frighteningly	beldurtuta
richly	aberats
indebted	zorrak
disputed	eztabaidatu
vibrantly	biziki
embarrassment	lotsa
breakup	apurtu
challenging	erronka
isolation	isolamendua
pigs	txerriak
vindictive	iraingarria
reconciliation	adiskidetzea
awkward	trakets
unravel	desblokeatzeko
impermissible	onartezina
ecstatic	estutu
scathingly	zorrotz
morbidly	morbido
gleefully	zorionez
sloww	motel
immobilized	immobilizatua
divisive	zatitzailea
sufficiently	nahikoa
overtaking	aurreratzea
deteriorate	hondatu
thrilling	zirraragarria
madden	erokeria
skittish	lotsati
discomfititure	deskonfititure
inspiration	inspirazioa
opulent	opulentea
hotheaded	liskartia
dehumanize	deshumanizatzeko
sufficient	nahikoa
holy	santu
misstatement	okerra
licentious	lizentious
stupify	ergelkeria
perplexity	perplexitatea
penalize	zigortzea
vexingly	gogaituz
uphold	babestu
back-woods	atzeratua
improbable	ezinezkoa
corrosions	korrosioak
spade	espada
obsessive	obsesibo
superstitious	superstizioak
disgustingly	zoritxarrez
savior	salbatzailea
dominate	menderatzeko
punitive	punitiboa
cohesive	kohesionatua
masterful	magistrala
patient	pazientzia
regally	erregalment
partisans	partisanoak
stab	eskopeta
snazzy	dotorea
impressive	ikusgarria
bliss	zoriontasuna
weird	bitxia
hard	gogorra
poetic	poetikoa
fortunate	zorionekoak
concede	berretsi
tiresome	nekagarria
harbors	portuak
soft	biguna
underlings	azpimarrak
alluring	liluragarria
hogs	zerriak
flares	bengalak
shaky	itzal
shocking	hunkigarriak
lose	galdu
deceit	iruzur
accusing	akusatu
dependable	fidagarriak
fusty	zorrotz
splendid	bikaina
disapproval	desadostasuna
reprovingly	erruki
banalize	banalizatu
satisified	beteta
retardedness	atzerapena
calumnies	zibilizazioak
dripped	gotortu
meager	txikia
repudiate	baztertu
fleeing	ihesi
reliably	fidagarria
agonies	agoniak
temptingly	tentagarria
implicate	inplikatzea
uneventful	arrunt
danger	arriskua
industrious	lanpetuta
audacious	ausartak
flawless	bikain
happy	pozik
haste	presarik
loathe	otoitz
expeditiously	azkar
reprehensible	ustez
tranquil	lasaia
filthy	zikin
faster	azkarrago
apprehensively	ustekabean
calmness	lasaitasuna
stupidity	ergelkeria
hypocricy	hipokresia
risky	arriskutsua
propagandize	propaganda
culprit	errua
notoriety	notoriotasuna
mastery	menderatzea
gross	gordin
insightful	ikusgarria
weakening	ahultzea
prejudicial	aurreiritzia
abort	abortatu
dungeon	ziega
passiveness	pasibitatea
shoddy	zorrotz
disconsolately	desanimatu
vengeful	mendekari
fool	ergela
exhilarating	zoragarria
misery	miseria
cumbersome	gogorra
ecenomical	ekenomikoa
stupor	zorabioak
resounding	gogorra
ravage	hondamena
misleadingly	engainagarria
recommendations	gomendioak
unsettlingly	aztoratzen
gruesomely	zakarki
wholeheartedly	bihotzez
nonsense	zentzugabekeria
pure	purua
malign	maligno
apocalyptic	apokaliptikoa
impolitely	lotsagabe
monstrosities	monstrositateak
undisputable	ezinbestekoa
stodgy	zorrotz
beneficially	onuragarriak
impure	ezpuru
fancinating	fancy
callous	zoragarria
willingly	borondatez
deficiency	gabezia
intrigue	intriga
forceful	indartsua
disgraceful	zorigaiztokoak
scandalize	eskandalizatu
misrepresent	itxuraldatu
irreformable	erreformagarria
expulse	kanporatu
enrichment	aberasteko
irregular	irregularra
nastily	nazkagarri
afraid	beldur
grind	ehotzeko
productive	produktiboa
scam	iruzurra
infamous	gaiztoa
downcast	negargarria
inflammatory	hanturazkoak
cleanly	garbi
responsibly	arduraz
perfidity	perfidentzia
scandalous	eskandalagarri
humid	hezea
bleak	iluna
inevitable	saihestezina
dangerous	arriskutsua
individualized	banaka
accurate	zehatza
counterproductive	kontrapuntuak
contrasty	kontraste
villainous	gaiztoak
frost	izozteak
conflicting	gatazkatsuak
tenacious	gogorra
impugn	ukatzea
stringently	zorrotz
villian	etsai
dragged	arrastatu
phenomenal	fenomeno
rejoicing	poztu
unjustified	bidegabeko
lie	gezurra
slave	esklabo
enthusiastically	gogotsu
burning	erretzea
astonished	harrituta
harmoniously	harmoniatsua
appreciated	estimatzen
clearer	argiagoa
sensitive	sentikorra
confused	nahastu
prize	saria
compassion	errukia
mope	kexatu
hideousness	izugarrikeria
boiling	irakiten
disses	dises
judders	epaileak
protesting	protesta
humourous	txukuna
archaic	arkaikoa
childish	haur
autocrat	autokrata
impassioned	apasionatua
satisfying	zoriontsu
disrupt	eten
proficient	trebea
hastily	lasterka
spitefulness	gorrotoa
inconsiderate	desenkusatu
zest	zestoan
unfaithfully	desleal
stammer	balantzea
courage	ausardia
invigorate	bizkortzea
imperiously	inperio
playful	ludikoak
confound	nahastu
compliment	osagarri
onerous	onberak
baffling	nahasten
handicapped	oztopatua
miserable	zorigaiztoko
faults	hutsegiteak
pointlessly	etengabe
repulsed	erreprimitu
simplified	sinplifikatua
unorthodox	ezohiko
monotonous	monotonoa
excelled	bikaina
loveless	maitagarria
disreputable	ahaztezina
stagnant	geldirik
eloquently	elokuentez
agreeable	atsegina
correct	zuzentzeko
zealous	kartsu
sensationally	sentsazioz
busts	bustoak
tempest	tenperatura
shit	kaka
reprehensibly	ustez
onslaught	eraso
wariness	gerra
shrouded	jantzia
pest	izurriteak
low-rated	txikia
unsettled	aztoratua
rebellious	bihurriak
chaos	kaosa
outstandingly	nabarmen
overbearing	zorrotzagoa
delightfulness	zoragarria
unthinkably	pentsaezina
agonizing	hiltzear
demonize	demonizatu
venomously	pozoitsu
apocalypse	apokalipsia
concise	zehatza
amputate	amputatu
quarrel	eztabaida
commitment	konpromisoa
senseless	zentzugabeak
facilitate	errazteko
degradingly	degradazioz
trashed	zaborrontzia
uprising	altxamendua
alarmingly	kezkagarria
rectify	zuzentzeko
fearful	beldurgarria
attentive	adi
undercuts	ahultzen
slogged	lausotuta
virtue	bertute
joyfully	zorionez
slowest	motelen
knock	kolpatu
reluctance	erreakzioa
impertinent	inpertsonala
weed	belar-txarra
helplessness	ezgaitasunak
prestige	prestigioa
punctual	puntuala
high-spirited	goi-espiritua
absentee	absentea
toxic	toxikoak
awfulness	eskuzabala
nosey	muturluze
slaughtered	hilda
tenacity	gogortasuna
affluent	aberatsa
blockage	blokeoa
tenderness	samurtasuna
feint	pretenda
sincere	zintzoa
top	goian
admonish	ohartarazi
stimulative	estimulatzailea
supremacy	nagusitasuna
adaptive	moldagarria
drawbacks	desabantaila
unnerve	larritu
novelty	berrikuntza
struggle	borroka
smooth	leuna
prefers	nahiago
hysteria	histeria
benefits	onurak
disasterous	hondamendia
astoundingly	zoragarria
disappointment	etsipena
cheat	tranparik
problem	arazoa
smilingly	irribarrez
devastatingly	suntsitzaile
stridently	zorionez
accomplished	beteta
fantastic	fantastikoa
sober	serio
disinterested	desinteresatu
dissolute	disolbatuta
revengefully	mendeku
miraculousness	mirakuluzioa
unspeakable	ezezaguna
uproariously	zalapartatsu
unreasonable	burugabe
cynicism	zinismoa
vexing	gogaitzen
optimal	optimoa
complex	konplexua
asinine	asinina
petty	txikia
hardy	gogorra
stable	egonkorra
fatalistic	fatalista
innocuous	inozoa
carefree	zaintza
belligerent	beligerante
dying	hiltzen
imprecate	inpotentzia
acerbate	abestu
capriciously	bitxikeria
empathy	enpatia
bumped	jipoitu
vibrated	dardara
seasoned	ondu
obliterate	ezabatu
paltry	gaiztoa
bewilderment	harritasuna
undesirable	desegokiak
affirm	baieztatu
supported	onartuta
pretty	ederra
relapse	erreka
limp	garbitu
enticing	liluragarria
insanely	erruki
myth	mitoa
yay	bai
assult	berretsi
parasite	parasitoa
self-interest	berekoitasuna
blame	errua
refreshing	freskagarria
sturdy	gogorra
bunk	litera
applaud	txalotu
stew	gisatua
concessions	kontzesioak
ludicrously	ludikoki
cleanliness	garbitasuna
unreadable	irakurtezina
poisonously	pozoitsu
extortion	estortsioa
fun	dibertigarria
effective	eraginkorra
memorable	gogoangarria
direly	zuzenean
traumatized	traumatizatua
atrocities	itzelkeriak
provoke	eragiten
hothouse	hazi
gratifyingly	zorionez
uproar	zalaparta
drastically	erabat
murderer	hiltzailea
painfully	zoritxarrez
kill	hiltzeko
expel	kanporatzea
worries	kezkak
contaminated	kutsatutakoa
sharper	zorrotzagoa
unimaginably	sekulako
mysterious	misteriotsua
violators	urratzaileak
aggravating	larriagotu
inspirational	inspirazio
disarm	desarmatu
militancy	militantzia
champion	txapelduna
abuses	abusuak
priceless	preziorik
object	objektu
self-defeating	auto-garaituz
worryingly	kezkagarria
dogged	zoritxarrez
insignificant	hutsalak
sensations	sentsazioak
happily	zorionez
discompose	deskonposatu
authoritarian	autoritarioa
vibrates	dardara
enjoyably	atsegina
indifferent	indiferente
decent	duina
inconsolably	desatsegina
villains	estaiak
obscured	ilunduta
halfheartedly	zintzotasunez
qualm	kualm
ugliness	itsustasuna
anarchistic	anarkistikoa
provocative	probokatzailea
noisy	zaratatsua
wisdom	jakinduria
cruelness	krudelkeria
sloooooooooooooow	motel
privileged	pribilegiatua
discontented	atsekabea
best	onena
painfull	mina
benevolence	benevolentzia
lethal	hilgarria
reasonably	arrazoizkoa
righteously	zuzenki
nitpick	eztabaidatu
venerate	gurtzen
angry	haserre
sinisterly	gaizto
hacks	hakeatzen
liking	gustura
important	garrantzitsua
sarcastic	sarkastikoa
amicable	lagunartekoa
eagerness	afektua
slump	jaitsiera
restrict	mugatu
insulting	burlatia
opinionated	iritzi
bitter	mingotsa
avid	abidia
navigable	nabigagarria
reverently	erreberentzia
paramount	funtsezkoa
depressions	depresioak
discordant	diskordantea
nitpicking	eztabaidatzen
louder	ozenago
believable	sinesgarria
intransigence	intransigentzia
viciously	bihozgabe
destabilisation	desestabilizazioa
itching	azkura
frustrate	frustratu
vehemently	sutsu
elevate	altxatu
discourage	desadostasuna
painful	mingarria
adversarial	kontrako
choppy	gogorra
volatile	lurrunkorra
uneasy	deseroso
morality	moralitatea
inhibit	inhibitu
despotism	despotismoa
success	arrakasta
weaknesses	ahuleziak
luckier	zoriontsuago
surmount	gainditu
scandel	eskandelua
incompatability	inkomunikazioa
bulky	handiak
catastrophically	hondamendi
midget	bitxikeriak
chivalrous	zaldibar
venomous	pozoitsu
scarcity	eskasia
asinininity	asinininitatea
flourishing	loratzea
mislead	engainatu
magical	magikoa
threatening	mehatxatzaileak
agreeably	atsegina
uncaring	bihozgabe
unlawfully	ilegalki
horrifys	izutzen
helped	lagundu
inefficiently	eraginkortasunez
promising	itxaropentsua
brutalities	bortizkeriak
doubt	zalantza
terrific	zoragarria
endorsed	onartua
worse	okerragoa
tangled	nahaspilatuta
revolutionized	iraultza
infallibility	infalibility
poverty	pobrezia
excitement	ilusioz
revives	berpizten
interruption	etenaldia
crowdedness	jendetza
confusion	nahasmena
contemptuously	etsipenez
brilliant	liluragarria
interrupt	eten
hottest	beroena
eagerly	irrikaz
beneficiary	onuraduna
repugnant	gaitzespena
rumours	zurrumurruak
suspicion	susmoa
bless	bedeinkatu
unfeeling	bihozgabe
truthfulness	egiazkoa
muscle-flexing	gihartsu
approval	onarpena
finer	finagoa
acumen	akumena
nagging	gogaitzen
profound	sakona
satisfactorily	ongi
cringes	belarrira
ambush	segada
remarkable	nabarmena
upset	minduta
crumpled	arrastaka
unnerving	larrigarri
peacekeepers	bakezaleak
tiring	nekagarria
debatable	eztabaidagarria
foully	gaizki
jeopardy	arriskua
unreal	irreala
simplify	sinplifikatu
upbeat	pozik
enhancement	hobekuntza
maliciousness	gaiztakeria
intimidatingly	intimidatiboki
barbarously	basati
diametrically	diametrikoki
wayward	galduta
benifits	onurak
accuse	akusatu
celebration	ospakizuna
stubbornly	zoritxarrez
accolade	agur
miscellaneous	hainbat
consistently	koherentziaz
whine	kexatu
illogical	ilogikoa
disillusioned	desengainua
betraying	traizio
impose	inposatu
back-logged	itzuli-saioa
warmer	beroago
toll	bidesaria
diabolically	diabolikoki
motivated	motibatuta
drawback	desegokia
inequitable	desegokia
impartial	inpartziala
irrecoverableness	berreskuraezintasuna
paralize	paralizatu
heaven	zerua
vile	doilor
acridly	zorrotz
savings	aurrezki
tempting	tentagarria
cruel	krudela
rhetoric	erretorika
hypocrite	hipokrita
crash	kraskadura
feasibly	bideragarria
surreal	surrealista
bleakly	ildaskak
abundant	ugari
steadiest	seguruena
rogue	gaiztoak
suffocate	asfaltatu
oblique	zeiharkako
mischievous	bihurri
equivocal	gaizki
spoils	hondamena
interferes	interferitzen
gentle	leuna
loathsome	gaitzesgarria
concerns	kezkak
insults	burlak
adulterier	adultero
harsh	gogorra
sugar-coated	azukre-estalitakoa
eruptions	erupzioak
denunciations	salaketak
peaceful	baketsua
insubordinate	inurriak
disordered	nahastuta
unexpectedly	ustekabean
nourishment	elikadura
cheesy	cursi
lonely	bakardadea
believeable	sinestea
reactionary	erreakzionarioa
hypocrisy	hipokresia
barbarically	basati
brutality	basakeria
polite	adeitsu
doubtful	zalantzazko
unorthodoxy	ezohiko
subpoena	aipamena
freedom	askatasuna
dextrous	zoragarria
straighten	zuzentzeko
dreadful	izugarria
distasteful	desatsegina
covenant	itunarekin
frightening	beldurgarria
violator	urratzailea
divisively	zatiketa
deviate	desbideratu
predicament	iragarpena
impasse	geldialdia
dizzy	zorabioak
pleas	eskakizunak
crummy	desenkusatu
scenic	eszenikoak
conspiracy	konspirazio
injustice	bidegabekeria
slack	moteldu
despair	etsipena
limitations	mugak
dissing	dising
depression	depresioa
hasty	presaka
break	apurtu
emptiness	hutsunea
stinging	izterrak
saver	babeslea
inimically	inimikoki
unnerved	larritua
satisfy	asetzeko
facetious	zoragarria
usurper	usurpatzaile
inventive	asmatzailea
exultant	zoragarria
quieter	lasaiagoa
dissident	disidente
proud	harro
worthless	ezerez
reconcile	konbinatu
faithful	leiala
smoke	kea
annoyances	gogaikarriak
downfall	erorketa
neatly	ondo
obscene	lizun
inspiring	inspiratzailea
sadly	zoritxarrez
snobish	harroputz
unequivocally	inequivocally
messing	nahasten
painless	indartsua
extol	itzaltze
regret	damua
startling	harrigarria
supportive	solidarioa
safe	segurua
glow	distira
brutal	bortitz
festive	jaiak
impersonal	inpertsonala
retreated	erretiroa
unsound	ezegonko
acrimony	akrimonia
enrapture	enrazia
sickly	gaixoa
ferociously	ferozki
evenly	berdinarekin
undisputably	ezinbestean
creative	sormena
wrong	gaizki
sad	tristea
patience	pazientzia
fortitude	gotorlekua
discriminatory	diskriminazioa
viewable	ikusgai
dispute	gatazka
predatory	harraparia
incorrect	okerra
noises	zarata
plusses	lurra
revulsion	berpiztea
liberation	askapena
pricey	preziatua
devoid	gabekoa
barbarian	barbaroa
mendacious	mendazkoa
unjustly	bidegabe
intimate	intimo
congestion	pilaketak
uproarously	zalapartatsu
advantage	abantaila
clunky	burdina
aggrieved	kaltegarriak
betrayals	traizioak
lawlessness	inportantea
primitive	primitiboa
tetchily	dotorea
eschew	ezkutatu
effectiveness	eraginkortasuna
caricature	karikatura
qualified	sailkatua
pretence	aurpegia
severity	larritasun
catastrophies	hondamendiak
irrationals	irrazionalak
faith	fedea
trapped	harrapatuta
graciousness	zoriontasuna
perseverance	iraunkortasuna
entice	liluragarria
captivate	liluratzeko
abomination	izugarrikeria
supporting	laguntza
comfy	komertziala
booming	indartsua
conscientious	kontzientzia
spiritual	espirituala
delinquency	delinkuentzia
estranged	kanpoan
vengeance	mendeku
sweetheart	maitea
cancer	minbizia
stooges	zorabioak
hideous	izugarria
irate	gorrototsua
unequal	desberdin
heal	sendatu
sicken	nazkatu
anti-occupation	anti-okupazioa
extinguish	itzaltzea
fume	smoke
incomprehensible	ulertezina
drunkard	betaurreko
ashamed	lotsatu
bothersome	gogaikarria
dishonesty	desatsegina
distort	distortsionatu
problematic	problematikoa
fans	zale
heavenly	zeruko
mistakes	akatsak
undersized	txikiegi
congratulations	zorionak
grace	grazia
unlamentable	deitoragarri
ambivalent	anbibalentea
opposition	oposizioa
scoff	esnatu
rumors	zurrumurruak
gainfully	irabazi
graciously	zorionez
absurdly	absurdu
articulate	artikulatu
deceitfulness	erruduntasuna
frozen	izoztuak
gracefully	graziaz
slime	lohi
dungeons	ziegak
relaxed	lasai
skillfully	trebeziaz
exaggeration	gehiegikeria
discouragingly	gogoz
grief	mina
contaminating	kutsatzea
upheld	berretsi
declaim	deklarazioa
dragging	arrastatu
rejoicingly	errealki
set-up	konfigurazioa
fibber	zuntz
thriving	aberatsa
downhearted	zorionak
advanced	aurreratuak
foolhardy	errugabea
irrational	irrazionala
dull	tristea
undermine	ahuldu
dishonor	deshonra
charitable	ongintza
invader	inbaditzailea
affectation	afekzioa
shamelessly	lotsagabe
screw-up	bihurritu
momentous	indartsua
unfaithful	desleal
beautifullly	ederra
direness	gizakiak
classic	klasikoa
resilient	elastikoak
musty	beharra
restored	zaharberrituta
wondrous	zoragarria
deceptive	engainagarria
tricky	delikatua
rightful	eskubidea
imperfections	akatsak
incapably	ezgai
romantically	erromantikoki
instrumental	instrumentala
guarantee	bermea
overthrow	desegin
stormy	ekaitza
fall	erori
beloved	maiteak
shady	itzala
slanders	kalumniatzen
lovably	maitagarria
licentiousness	lizentiousness
anti-us	anti-aeb
demolish	eraistea
extraordinarily	izugarri
fashionably	modan
crude	gordin
officious	ofizialak
groundless	behean
conceited	harrotua
recourses	baliabideak
righteous	leiala
pain	mina
devil	deabrua
wonderous	zoragarria
greatness	handitasuna
renaissance	berpizkundea
resourcefulness	baliabide
accusingly	jakitun
regression	errepresioa
bothers	gogaikatzen
enflame	inflazioa
intricate	konplexua
dope	dopia
adversity	zoritxarrean
rip-off	erauzi
desolate	desolatu
kindness	adeitasuna
ready	prest
wastefulness	hondamendia
heretical	heretikoa
arrogantly	harro
capricious	bitxiak
triumphantly	garaile
feign	fintasun
backwoods	atzeratua
self-interested	berekoia
hateful	gorrotagarria
affability	afektibitatea
disingenuously	ezertarako
heroic	heroikoa
cooperative	kooperatiba
disconcert	deskonposatu
fair	azoka
ruthless	errukitsua
consistent	koherentea
intrusion	intrusioa
personages	pertsonaiak
piety	pietatea
rapt	harrapatu
pleased	pozik
quitter	askatzailea
burden	zama
annoyance	gogaikarriak
recessionary	recessive
impaired	kaltetuta
infuriated	zorigaiztokoak
hype	higadura
damaged	kaltetuta
tentative	tentagarria
occluded	ezkutatuta
incongruously	ezohiko
break-up	apurtu
desert	basamortu
agility	arintasuna
fascism	faxismoa
restricted	mugatua
banish	baztertu
inefficacious	inertzia
arduously	arduraz
swipe	mugitu
acclaimed	txalotua
fried	frijituak
bashful	lotsatia
easiest	errazena
insignificantly	gutxi
harms	kalteak
drunken	borracha
mists	eztiz
helpful	lagungarria
favored	onartua
stiff	gogorra
fooled	engainatu
cruelest	krudela
fractious	lausoak
extremism	muturrekoa
decline	beheratu
worrying	kezkagarria
fault	akats
alarming	kezkagarria
disappoint	etsi
vice	bizio
dissocial	disocial
fright	beldurra
weaken	ahuldu
difficult	zaila
frustrates	frustratu
left-leaning	ezker-leaning
delusions	ilusioak
hideously	izugarri
exceled	bikaina
payback	berreskuratzea
menace	mehatxu
calumny	kalumnia
unwell	gaixo
unsteadily	ezegonkor
striving	ahalegintzen
evildoer	gaiztoak
succes	arrakasta
blackmail	xantaia
masterpieces	maisulanak
appreciate	eskertzen
slaughter	sarraskia
stagnation	gelditzea
haughtily	hautsily
rusts	oxidazioak
flexible	malgua
impending	inprenta
instigate	instigatu
hells	infernuak
romanticize	erromantizismoa
respite	atsedena
wrinkled	zimur
powerless	indartsua
destruction	suntsitzea
distract	oharkabetu
uglier	itsusiago
concerned	kezkatuta
diligently	arduratsuan
resigned	dimisioa
damages	kalteak
apprehension	atxiloketa
painlessly	indarrez
oppressively	oposizioz
wrangle	gezurra
infraction	infracciones
dilapidated	hondamena
cringe	krudelkeria
stifle	itzaltzea
marveled	zoragarria
enliven	animatu
disapointment	deuseztatzea
blissful	zoriontsu
ingeniously	ingeniaritza
murderous	hiltzailea
murder	hilketa
stubbornness	estubbornness
cautionary	kontuz
crumples	tumuluak
passe	pasatu
undone	desegin
futurestic	etorkizuna
scant	gutxi
vex	gogaitu
dismal	tristea
crushed	xehatu
competitive	lehiakorra
accolades	ahotsak
exhilaration	zorionak
spontaneous	espontaneoa
savvy	adituentzat
obstructed	oztopatu
fruitful	emankorra
unlimited	mugagabea
captivating	liluragarria
polluters	kutsatzaileak
infirm	gaizki
dejectedly	zoritxarrez
ultra-crisp	ultra-kurruskaria
encroachment	inbasioa
bored	aspertuta
overwhelming	gogorra
sinful	bekatari
lament	pena
extermination	sarraski
rapport	txostena
sprightly	beldurrez
slogs	lelopean
fulfillment	betetzea
tortured	torturatu
vanity	harrotasuna
suck	zurrupatu
enviously	inbidia
condescending	kondentsatzen
corrupting	ustelkeria
dismalness	zoritxarra
confession	aitortza
squabbling	zurrumurruak
satirical	satirikoa
sourly	gatz
insubstantial	ezohiko
obscenity	lizintasuna
stranger	arrotza
accommodative	ostatua
morbid	morbidoa
hollow	hutsak
cancerous	minbizia
meddle	nahastu
badly	gaizki
endanger	arriskuan
complaints	kexak
slaves	esklabuak
lemon	limoi
taxing	zergak
fascinating	liluragarriak
ecstasy	lortu
laid-off	ezkondua
thrilled	pozik
anti-semites	antisemitak
positives	positiboak
totalitarian	totalitarioa
harass	jazarpena
imprudence	zuhurtziagabetasun
odd	bakoitiak
firmer	segituan
imperious	indartsua
debts	zorrak
illegitimate	ilegala
erroneously	erruki
disdain	deskontua
attack	erasoa
confounded	nahastu
gaiety	jolasa
discountenance	deskontua
renunciation	renusioa
squirm	ezkutatu
distressed	ahaztuta
assault	eraso
smelly	usaina
scarce	gutxi
apprehensive	apala
backward	atzeratua
wrestle	borroka
remorsefully	zoritxarrez
defects	akatsak
inconsequently	ezezaguna
vociferously	ozen
goodly	ongi
cure	sendatzea
thrill	emozioa
absurd	absurdua
ecstatically	bereziki
deadly	hilgarria
crumbling	desegin
mendacity	mendazitatea
improperly	gaizki
martyrdom	martirio
avenge	mendekatu
conflicts	gatazkak
desperation	etsipena
complication	konplikazioa
execrate	exekutatu
lull	laztana
tarnished	jantzita
slooow	motel
tattered	zapaldu
truthfully	egiazki
heartening	aberatsa
neglected	ahaztuta
tarnish	laztandu
diversified	dibertsifikatua
outbursts	irteerak
fresher	fresherago
luxuriously	luxuzko
intimidating	intimidazioa
dread	beldurra
egotistically	egotistikoki
impress	harritu
earnest	serio
zealously	kartsu
indignation	indignación
thirst	egarria
reputation	ospea
inglorious	gaiztoak
suppression	ezabatzea
sedentary	sedentarioa
immaterial	ez-materiala
objections	objekzioak
substantive	substantiboa
eminence	eminentzia
wild	basatia
thorny	arantzaduna
feverish	sukarra
infamy	infamia
thicker	lodiagoak
adaptable	moldagarria
dangerousness	arriskutsua
deserving	merezi
obtrusive	eskuzabala
fortunately	zorionez
nervous	urduri
smelling	usaina
unassailable	ezinbestekoa
incense	intsentsu
harassment	jazarpena
doubts	zalantzak
efficacious	eraginkorra
contravene	kontrakoa
limited	mugatua
happiness	zoriontasuna
easiness	erraztasuna
woebegone	zorigaiztoko
hilarious	barregarri
unexpected	ustekabeko
unskilled	ez-gaitu
consternation	kontsternazio
prattle	praktikoa
displaced	desplazatu
imprecise	zehaztugabea
repulse	errebotea
divine	jainkotiarra
